Abstraction Error;Top Level Violation Abstracted;topLevelViolationActualCentral;topLevelViolationActualRegioCentral;relativeTLViolationCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepCentral;runtimePerStepRegioCentral;runtimePerAvppPerStep;unsolvedCentralAllocations;Total runtime central;Total runtime regio central;time stamps
20.0;71929.95280142417;72437.92752733125;72437.9275273103;0.2750189164295926;0.2750189174736539;0.27309033304301145;0.005380868797075013;0.239180352;1806.081092368;118.08145201600001;0.17574120000000001;0.0;5726.27954176;9777.705541504001;1.387451143468E12
23.079869327473716;42244.357748261944;42263.04499468778;42263.04499463126;0.16153341685448103;0.16153341747166125;0.16146199302106726;0.002048016344221399;0.225334592;76.51016628800001;303.687772672;0.07817256;0.0;5867.675889456001;8585.6545888;1.387466648825E12
18.900059598945518;2.9103830456733704E-11;2.9103830456733704E-10;420.89981226963573;1.2206501183890719E-15;0.0017653051154055855;1.2206501235086273E-16;0.001975827171027993;0.22058360000000002;30.196744928;210.75308456000002;1.7783228000000002;0.0;7248.484223856;11989.237804704;1.387481102411E12
22.0;0.0;8.731149137020111E-11;2681.4434000799374;3.6112545921705806E-16;0.011090607525162551;0.0;0.0026502944063183874;0.09265073600000001;179.13185859200001;345.455650144;1.767723616;0.0;7324.300135184;7857.201671136;1.387500340171E12
0.0;2.9103830456733704E-11;2.9103830456733704E-11;63.070197369437665;1.1665926179595825E-16;2.528094268166753E-4;1.1665926226357308E-16;0.0;0.061142448;66.128058544;300.15677460800003;1.9255136800000001;0.0;5979.586141328;10262.599973968001;1.387515522537E12
19.99999999999818;0.0;1.1641532182693481E-10;708.6783884073375;4.7281367439625E-16;0.0028782537288956625;0.0;0.0018929697516515387;0.052373904000000006;77.52083470400001;425.586421776;2.378482672;0.0;;;
21.99999999999909;0.0;8.731149137020111E-11;589.226106397633;3.6393919181002207E-16;0.002456062432152727;0.0;0.004788130726123782;0.07658764800000001;80.401628848;245.68042060800002;2.903927776;0.0;;;
22.0;0.0;1.1641532182693481E-10;819.4680486395664;5.102937622095579E-16;0.0035920480983204907;0.0;0.0023459706474546755;0.08842467200000001;84.40832628800001;213.65203624;0.21499315200000002;0.0;;;
21.99999999999909;2.9103830456733704E-11;5.820766091346741E-11;289.50788813777035;2.526736087119377E-16;0.00125672466503389;1.2633680490438425E-16;0.0040885111762905;0.12394859200000001;82.560830928;225.72373624000002;1.6558342560000001;0.0;;;
26.000000000509317;2.9103830456733704E-11;2.0372681319713593E-10;41.09875658279634;8.622067156329416E-16;1.7393696746991752E-4;1.231723884688497E-16;0.0028207894044309937;0.159571776;88.053943808;101.63873104000001;13.529281840000001;0.0;;;
