Abstraction Error;Top Level Violation Abstracted;topLevelViolationActualRegioCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepRegioCentral;runtimePerAvppPerStep;Total runtime regio central;time stamps;Top level costs regio central;Root costs regio central;Longest serial path
0.0;2.9103830456733704E-11;1.7462298274040222E-10;6.854532869124299E-16;1.1424221448540498E-16;0.0;0.0035102080000000003;36.313713088;0.081279952;368.20428148800005;1.42454107669E12;33173.0557677431;33210.940018579226;9.167012E8
0.0;5.820766091346741E-11;2.0372681319713593E-10;8.050626867412903E-16;2.300179104975115E-16;0.0;0.004081744;37.297300976;0.064817632;355.36159112;1.424541446927E12;32881.1114367872;32918.951511508276;8.10833024E8
9.094947017729282E-13;2.9103830456733704E-11;2.9103830456733704E-11;1.2620341557003978E-16;1.2620341557003978E-16;1.1492297767251432E-16;0.003508704;37.998960688000004;0.770603616;356.288974752;1.424541804294E12;28992.289078777543;29069.538084095017;3.55479952E8
9.094947017729282E-13;0.0;2.9103830456733704E-11;1.2445626504885944E-16;0.0;1.8501096614566952E-16;0.00352016;37.460542048;0.6647354400000001;367.77087;1.424542162597E12;29543.824325669233;29623.342164073692;7.33655952E8
0.0;0.0;1.1641532182693481E-10;4.824575714857548E-16;0.0;0.0;0.0036232960000000002;38.11969872;0.209382368;353.95447454400005;1.424542532382E12;30846.783614629934;30899.037477510614;1.46097584E8
0.0;0.0;0.05000000004656613;1.9020303340579081E-7;0.0;0.0;0.0033986240000000003;37.082118176;0.587558368;352.993164976;1.424542888345E12;32805.28917956955;30975.029003512584;6.84368016E8
9.094947017729282E-13;2.9103830456733704E-11;8.731149137020111E-11;3.343673675209484E-16;1.1145578917364945E-16;1.6058589034146807E-16;0.003479184;35.751986672;0.07347824;378.839659568;1.424543243325E12;32516.33720049199;30541.444285351816;9.96554704E8
0.0;2.9103830456733704E-11;0.0;0.0;1.223044001081907E-16;0.0;0.0034104;33.388750688;0.529609824;368.2178192;1.424543624217E12;28726.719260962633;26772.876290615208;8.02349424E8
0.0;0.0;8.731149137020111E-11;3.618336817847648E-16;0.0;0.0;0.003426432;33.690607728;0.841796512;368.455787696;1.424543994439E12;29281.783149119543;27312.245864525754;7.60070704E8
0.0;5.820766091346741E-11;8.731149137020111E-11;3.506641456078849E-16;2.3377609707192324E-16;0.0;0.0034616160000000003;33.433547984;0.647591232;362.628658304;1.424544364894E12;30529.453578739038;28557.759400445986;1.54758192E8
1.8189894035458565E-12;2.9103830456733704E-11;8.731149137020111E-11;3.5494836164441845E-16;1.1831612054813948E-16;2.0562857340699483E-16;0.0036461120000000004;33.963826832;0.605312512;386.737577008;1.424544729515E12;31880.55329904808;31945.36308783462;8.68627776E8
4.547473508864641E-13;2.9103830456733704E-11;8.731149137020111E-11;3.5733061043908025E-16;1.191102034796934E-16;1.3812219159477697E-16;0.003678672;36.291346912;0.11818321600000001;353.052941632;1.42454511827E12;31598.782306933514;31667.927240095134;4.64856064E8
1.8189894035458565E-12;0.0;2.0372681319713593E-10;9.149270274742072E-16;0.0;2.6039291478334837E-16;0.0037425600000000002;35.080505568;0.669164608;369.12905246400004;1.424545473313E12;27918.364298660334;28007.56566609481;8.72001872E8
