AbstractionError;TopLevelViolation Abstracted;topLevelViolationActualCentral;topLevelViolationActualRegioCentral;relativeTLViolationCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepCentral;runtimePerStepRegioCentral;runtimePerAvppPerStep;unsolvedCentralAllocations;Totalruntimecentral;Totalruntimeregiocentral;timestamps;Toplevelcostscentral;Toplevelcostsregiocentral;Rootcostsregiocentral;Longest serial path
1.8189894035458565E-12;0.0;8.731149137020111E-11;2.9103830456733704E-11;5.794140699899163E-16;1.9313802461166925E-16;0.0;1.4759098931464918E-16;0.019875744;43.038526736;16.291783616;0.06481336;0.0;1291.323843568;929.4729909600001;1.426862000529E12;18610.581457661;18719.534550030538;18763.632751111432;1.638784752
1.8189894035458565E-12;0.0;0.0;2.9103830456733704E-11;0.0;1.9443427746434598E-16;0.0;1.9552240225625584E-16;0.015282256000000001;10.491281632000002;17.468937136;0.07202544000000001;0.0;1351.554772336;895.2403544160001;1.426864221487E12;18439.298814308808;18540.61135182607;18590.756276732765;1.5623186880000002
0.0;2.9103830456733704E-11;2.9103830456733704E-11;5.820766091346741E-11;2.133596439245034E-16;4.26719290977278E-16;2.13359645488639E-16;0.0;0.013379968;18.545612368;17.0229624;1.0497601440000002;0.0;924.86995248;901.6197979680001;1.426866468403E12;16191.577417042066;16284.127409320123;16352.546362582789;1.5994459360000002
0.0;0.0;5.820766091346741E-11;2.9103830456733704E-11;4.208118184084555E-16;2.1040591072535558E-16;0.0;0.0;0.013089664;19.238107888000002;17.564460624000002;0.832655056;0.0;1138.641923984;959.2784379840001;1.426868294964E12;16513.772275089843;16612.878035752765;16668.112219082563;1.566272992
0.0;0.0;5.820766091346741E-11;5.820766091346741E-11;4.07821671185964E-16;4.0782167404329433E-16;0.0;0.0;0.034050848;31.317680064;17.59471776;0.73730048;0.0;966.1408150880001;915.28254944;1.4268703937E12;17257.570208606176;17367.080569887326;17394.175661531466;1.52637824
3.637978807091713E-12;2.9103830456733704E-11;5.820766091346741E-11;5.820766091346741E-11;4.132197904300553E-16;4.1321979336352814E-16;2.0660989668176407E-16;2.8028942330600415E-16;0.005634768;31.784285552000004;17.684576976000002;0.065201488;0.0;1298.177472736;920.934306704;1.426872275208E12;16941.48583774159;17038.133458807566;17086.913001199613;1.55684712
0.0;0.0;5.820766091346741E-11;5.820766091346741E-11;4.2409060115569266E-16;4.2409060424554087E-16;0.0;0.0;0.004368976;51.686177312000005;17.917718944;0.9354087040000001;0.0;1707.0285196640002;906.897932048;1.426874494418E12;16333.81596657167;16430.13431715488;16491.8802105772;1.5873624800000001
0.0;1.4551915228366852E-11;2.9103830456733704E-11;4.3655745685100555E-11;2.229879261597937E-16;3.344818918024262E-16;1.1149396393414207E-16;0.0;0.004376816;18.239425488000002;16.799477984000003;0.6083305760000001;0.0;1228.3135781120002;920.2947978880001;1.426877108431E12;15207.431693627846;15348.039934211045;15384.024663553124;1.517059216
0.0;0.0;5.820766091346741E-11;5.820766091346741E-11;4.4165277474537313E-16;4.4165277809642985E-16;0.0;0.0;0.0036786880000000003;20.380058352000002;17.705569984;0.9405681920000001;0.0;1309.9910208000001;911.2388804320001;1.426879257115E12;15420.593140406967;15557.156905134749;15592.909909156288;1.6444564000000002
0.0;0.0;2.9103830456733704E-11;5.820766091346741E-11;2.1529524666542042E-16;4.30590496516129E-16;0.0;0.0;0.003420864;21.656198288000002;17.806937568000002;0.095562752;0.0;1027.16040112;863.230498688;1.426881478416E12;15986.283956983383;16101.840375164333;16150.450120024927;1.581267824
0.0;0.0;5.820766091346741E-11;8.731149137020111E-11;4.2055458645466026E-16;6.308318842397966E-16;0.0;0.0;0.003295056;16.854949312000002;17.921598304;0.8433744160000001;0.0;881.090313808;938.709214704;1.426883368921E12;16528.01125501696;16627.65848609898;16682.05448430571;1.5778614560000002
0.0;2.9103830456733704E-11;2.9103830456733704E-11;5.820766091346741E-11;2.1463833569235832E-16;4.2927667455059645E-16;2.1463833727529822E-16;0.0;0.0035011200000000004;19.121631712000003;17.903425168000002;1.00286824;0.0;840.5543402080001;911.860212304;1.426885188805E12;16055.542027492023;16165.223359294063;16218.62957305087;1.606013616
1.8189894035458565E-12;1.4551915228366852E-11;0.0;7.275957614183426E-11;0.0;5.691111146756888E-16;1.1382222293513776E-16;1.8132024802378548E-16;0.0024355040000000002;30.646203616;17.426129696;1.47840864;0.0;1402.303987616;967.086898784;1.426886941298E12;14763.04518588482;14899.880128794643;14951.373272087745;1.5532637440000001
0.0;2.9103830456733704E-11;8.731149137020111E-11;8.731149137020111E-11;6.522436226529643E-16;6.522436275254243E-16;2.1741454250847474E-16;0.0;0.002163776;17.836284624;17.498433504;0.064517856;0.0;1536.467964464;965.207699968;1.426889310767E12;15765.781718124019;15888.392192215519;15933.301559280286;1.585069792
0.0;2.9103830456733704E-11;2.9103830456733704E-11;2.9103830456733704E-11;2.1350556315618222E-16;2.1350556472245803E-16;2.1350556472245803E-16;0.0;0.0010628480000000001;21.250074960000003;17.964333072000002;1.27010576;0.0;1398.3185603840002;901.8163633600001;1.426891812538E12;16175.971235084402;16268.947484871633;16337.183229566193;1.581402816
9.094947017729282E-13;0.0;2.9103830456733704E-11;5.820766091346741E-11;2.1590827584410472E-16;4.3181655489166293E-16;0.0;1.7160152772622133E-16;0.002172512;19.951473472;17.219076464;0.8446873760000001;0.0;1311.2533450560002;908.7063820000001;1.426894112743E12;15922.068194465923;16049.253969321342;16087.19930215748;1.5668060480000001
0.0;2.9103830456733704E-11;1.4551915228366852E-11;5.820766091346741E-11;1.1514796548470267E-16;4.605918655834317E-16;2.3029593279171584E-16;0.0;0.002132;84.529377568;17.3311704;0.898865216;0.0;1157.781614576;924.535892848;1.426896332781E12;14518.283085319465;14644.887424196933;14715.206334663453;1.5823731040000002
0.0;0.0;5.820766091346741E-11;5.820766091346741E-11;4.3394297050375594E-16;4.33942973738837E-16;0.0;0.0;0.0020490400000000002;39.853070272000004;17.588423824;0.10123686400000001;0.0;1420.436420064;959.2780091520001;1.42689841518E12;15811.49151250865;15934.806817753479;15978.347508544251;1.618155664
0.0;2.9103830456733704E-11;2.9103830456733704E-11;5.820766091346741E-11;2.1094542944291944E-16;4.2189086194371637E-16;2.1094543097185819E-16;0.0;0.00205272;28.563824864;17.117756576;0.9740915040000001;0.0;1633.465087488;942.227191744;1.426900795007E12;16454.231572400935;16550.60884093314;16609.812237432892;1.5617997920000002
0.0;0.0;0.0;8.731149137020111E-11;0.0;6.288474547813778E-16;0.0;0.0;0.002093872;34.779052096;17.621834448;0.7958564640000001;0.0;1493.6965822240002;976.71622488;1.426903371474E12;16601.518855214013;16702.014059652625;16754.03031846726;1.5532502080000001
0.0;0.0;5.820766091346741E-11;5.820766091346741E-11;4.219827460065836E-16;4.2198274906579325E-16;0.0;0.0;0.0020317440000000003;18.101462576;17.499843424;1.014841488;0.0;1266.79524304;822.989242224;1.426905842017E12;16449.17537411471;16545.824686968714;16604.861401215116;1.5506481120000002
0.0;0.0;2.9103830456733704E-11;1.4551915228366852E-10;2.0920576936960818E-16;1.0460288543671635E-15;0.0;0.0;0.002025312;51.176174784000004;17.425432432;0.060732112000000005;0.0;1440.131220144;903.832696496;1.426907932232E12;16647.31939574393;16745.664723354363;16798.876458197774;1.5793062240000002
1.8189894035458565E-12;0.0;2.0372681319713593E-10;1.1641532182693481E-10;1.4431472203332305E-15;8.24655560317775E-16;0.0;1.4759098931464918E-16;0.00202496;48.446537792;17.069771632000002;1.0791485600000001;0.0;1262.120377664;965.208871712;1.426910276289E12;16992.879368971593;17090.091420094057;17137.131797274084;1.5634602880000001
0.0;2.9103830456733704E-11;2.9103830456733704E-11;5.820766091346741E-11;2.1048463091319012E-16;4.2096926487091277E-16;2.1048463243545639E-16;0.0;0.00207224;13.151188752000001;17.130751648;0.048884512000000005;0.0;1087.86398976;921.6414325600001;1.426912503736E12;16505.06563768217;16603.840308152525;16659.58701232191;1.572920432
0.0;0.0;8.731149137020111E-11;8.731149137020111E-11;6.100579850446644E-16;6.100579893072275E-16;0.0;0.0;0.002057408;21.469183360000002;17.99375736;0.068097264;0.0;1560.126820288;940.645445104;1.426914513331E12;17324.053324049528;17432.229777607343;17461.089541648456;1.5853772640000001
9.094947017729282E-13;0.0;2.9103830456733704E-11;1.1641532182693481E-10;2.0204096179548492E-16;8.081638527922734E-16;0.0;1.3817337783926412E-16;0.002069936;28.983925600000003;17.726888560000003;1.256746064;0.0;1454.6716700640002;908.39602328;1.426917014229E12;17481.73353285724;17585.757967174683;17620.98347269173;1.5568072320000002
1.8189894035458565E-12;0.0;2.9103830456733704E-11;5.820766091346741E-11;1.9208565820962463E-16;3.8417131895478494E-16;0.0;2.064906488571531E-16;0.0020681280000000002;9.714667264000001;18.508755392;0.9021817440000001;0.0;1491.402597152;903.821433024;1.426919377411E12;18751.5220360834;18862.930995549494;18905.698868181633;1.6426588640000002
1.8189894035458565E-12;2.9103830456733704E-11;2.9103830456733704E-11;1.1641532182693481E-10;1.9592166785314486E-16;7.836866766882148E-16;1.959216691720537E-16;1.3838997658473052E-16;0.0020801920000000002;9.914879328000001;17.536198672;0.751346512;0.0;1346.591009168;918.309812864;1.426921772729E12;18246.027769694472;18342.63530195467;18395.206717743353;1.5217040640000001
0.0;2.9103830456733704E-11;2.9103830456733704E-11;5.820766091346741E-11;1.872257920363439E-16;3.7445158648154577E-16;1.8722579324077289E-16;0.0;0.002078112;10.719355872000001;17.743096336;0.056857040000000005;0.0;1557.082440416;930.62317824;1.426924037709E12;19425.407217748598;19552.8896509844;19583.342304979768;1.6078601600000002
1.8189894035458565E-12;0.0;0.0;8.731149137020111E-11;0.0;5.64667472243363E-16;0.0;2.527635015030824E-16;0.0021121440000000003;10.763908512;17.59346104;0.97898496;0.0;1480.761126416;893.6838156800001;1.426926525503E12;19284.05497873177;19408.914314295194;19440.83466784407;1.5835779840000002
1.8189894035458565E-12;0.0;2.9103830456733704E-11;8.731149137020111E-11;1.876799258923221E-16;5.630397813078032E-16;0.0;1.2795707764428833E-16;0.002077984;45.898590752000004;17.974195536;0.616843488;0.0;1077.7059920000002;911.8810658240001;1.426928900042E12;19360.76088108929;19490.33742325212;19517.830783050078;1.7593166560000002
0.0;2.9103830456733704E-11;0.0;8.731149137020111E-11;0.0;5.44107587628502E-16;1.8136919587616732E-16;0.0;0.002080624;26.689438896000002;17.427286608000003;1.2848603680000001;0.0;1295.1851512960002;938.7319806080001;1.426930889731E12;20292.762049446592;20393.99432651022;20457.58793376857;1.52932336
1.8189894035458565E-12;2.9103830456733704E-11;2.9103830456733704E-11;5.820766091346741E-11;1.7552522593895654E-16;3.5105045399509866E-16;1.7552522699754933E-16;1.998794521737651E-16;0.002107472;23.276329584000003;17.347351008;0.099623216;0.0;1527.2258830560002;927.5962921280001;1.426933123778E12;21223.605216944812;21329.945705833667;21388.10026369899;1.586847904
0.0;2.9103830456733704E-11;0.0;8.731149137020111E-11;0.0;5.200587106711722E-16;1.733529035570574E-16;0.0;0.002097888;35.330571424000006;18.079394288;1.011580256;0.0;1290.707381984;912.3407411840001;1.426935579406E12;21586.864733803217;21712.24231288833;21749.9857231265;1.64289184
1.8189894035458565E-12;0.0;2.9103830456733704E-11;5.820766091346741E-11;1.8083009407581161E-16;3.616601903987173E-16;0.0;1.8132024802378548E-16;0.002082432;33.792603792;18.068134672000003;0.944889312;0.0;1302.890611104;933.8637048960001;1.426937782578E12;20375.91234604571;20476.092939422604;20540.90864092198;1.673786336
1.8189894035458565E-12;0.0;8.731149137020111E-11;8.731149137020111E-11;5.299722790488874E-16;5.299722822657677E-16;0.0;2.259937979007114E-16;0.002122384;20.640357728;17.086749776;1.4138109600000002;0.0;1382.3231776;941.7624838080001;1.426940019432E12;21037.955229156632;21137.865671826432;21203.016135840324;1.504438688
0.0;0.0;2.9103830456733704E-11;8.731149137020111E-11;1.6999886704581026E-16;5.099966041163805E-16;0.0;0.0;0.00206192;50.497344704;17.181515584;0.070211152;0.0;1227.744017856;869.1700852800001;1.426942343614E12;22168.216543051785;22280.95968622163;22327.156847709197;1.523464544
0.0;2.9103830456733704E-11;2.9103830456733704E-11;8.731149137020111E-11;1.7392260106406425E-16;5.217678063102432E-16;1.7392260210341443E-16;0.0;0.0020452960000000003;41.277258992;17.855878272;1.3415623520000002;0.0;974.1711678080001;976.51652072;1.426944440647E12;21490.567899532674;21614.30515683297;21654.205625520128;1.575894624
0.0;0.0;2.9103830456733704E-11;1.1641532182693481E-10;1.7159725789505458E-16;6.863890356271934E-16;0.0;0.0;0.001060144;27.753710064000003;17.106212816;0.9803927520000001;0.0;1658.278187152;926.4472426560001;1.426946391445E12;21887.837406704595;22016.86856869574;22049.198995890572;1.4284893280000002
