NoRunningPosterior;DataFile;CountPlants;ModelFile;Demand-1;Runtime;Demand-3;Demand-2;Demand-5;Demand-4;NoRunningPrior;AvgLoadPosterior;AvgLoadPrior
39;generated/Evaluation/data_1427156694384.dat;51;generated/Evaluation/model_1427156694380.mod;14735.749916796338;1.126221657;16087.493608367336;15640.687730164502;16083.990542205567;16189.538082747873;24;0.5378122221382302;0.31780853658125785
37;generated/Evaluation/data_1427156695512.dat;51;generated/Evaluation/model_1427156694380.mod;15640.687730164502;1.3521250450000002;16189.538082747873;16087.493608367336;16221.269892823102;16083.990542205567;39;0.6714873143262193;0.5378122221382302
34;generated/Evaluation/data_1427156696865.dat;51;generated/Evaluation/model_1427156694380.mod;16087.493608367336;0.60136449;16083.990542205567;16189.538082747873;16460.609426638046;16221.269892823102;37;0.6441891206414911;0.6714873143262193
33;generated/Evaluation/data_1427156697467.dat;51;generated/Evaluation/model_1427156694380.mod;16189.538082747873;0.583645226;16221.269892823102;16083.990542205567;16122.712775787466;16460.609426638046;34;0.6390328244915143;0.6441891206414911
33;generated/Evaluation/data_1427156698052.dat;51;generated/Evaluation/model_1427156694380.mod;16083.990542205567;0.8428558270000001;16460.609426638046;16221.269892823102;16688.167347801293;16122.712775787466;33;0.6372857716973541;0.6390328244915143
33;generated/Evaluation/data_1427156698896.dat;51;generated/Evaluation/model_1427156694380.mod;16221.269892823102;2.444342842;16122.712775787466;16460.609426638046;16796.51105774627;16688.167347801293;33;0.6395580584019481;0.6372857716973541
33;generated/Evaluation/data_1427156701341.dat;51;generated/Evaluation/model_1427156694380.mod;16460.609426638046;3.78594153;16688.167347801293;16122.712775787466;17667.03085335462;16796.51105774627;33;0.643519674173912;0.6395580584019481
33;generated/Evaluation/data_1427156705127.dat;51;generated/Evaluation/model_1427156694380.mod;16122.712775787466;3.3245074320000003;16796.51105774627;16688.167347801293;17321.12270590089;17667.03085335462;33;0.6379267130781556;0.643519674173912
39;generated/Evaluation/data_1427156708453.dat;51;generated/Evaluation/model_1427156694380.mod;16688.167347801293;1.916447628;17667.03085335462;16796.51105774627;18125.618344209146;17321.12270590089;33;0.7368727957308969;0.6379267130781556
38;generated/Evaluation/data_1427156710371.dat;51;generated/Evaluation/model_1427156694380.mod;16796.51105774627;1.125581141;17321.12270590089;17667.03085335462;18029.637473140014;18125.618344209146;39;0.680920843561041;0.7368727957308969
34;generated/Evaluation/data_1427156711497.dat;51;generated/Evaluation/model_1427156694380.mod;17667.03085335462;0.842887261;18125.618344209146;17321.12270590089;18081.759327511107;18029.637473140014;38;0.6540495101092068;0.680920843561041
34;generated/Evaluation/data_1427156712341.dat;51;generated/Evaluation/model_1427156694380.mod;17321.12270590089;0.5490335630000001;18029.637473140014;18125.618344209146;18710.913151928424;18081.759327511107;34;0.6484966937810138;0.6540495101092068
34;generated/Evaluation/data_1427156712891.dat;51;generated/Evaluation/model_1427156694380.mod;18125.618344209146;0.672882068;18081.759327511107;18029.637473140014;19333.877702499383;18710.913151928424;34;0.6572792352044169;0.6484966937810138
34;generated/Evaluation/data_1427156713565.dat;51;generated/Evaluation/model_1427156694380.mod;18029.637473140014;0.736029621;18710.913151928424;18081.759327511107;19576.154785068815;19333.877702499383;34;0.6566032642411127;0.6572792352044169
34;generated/Evaluation/data_1427156714303.dat;51;generated/Evaluation/model_1427156694380.mod;18081.759327511107;0.641427125;19333.877702499383;18710.913151928424;18766.695160629977;19576.154785068815;34;0.6569703463452442;0.6566032642411127
34;generated/Evaluation/data_1427156714945.dat;51;generated/Evaluation/model_1427156694380.mod;18710.913151928424;0.6919231;19576.154785068815;19333.877702499383;19209.966555037303;18766.695160629977;34;0.6614013304780246;0.6569703463452442
