NoRunningPosterior;DataFile;CountPlants;ModelFile;Demand-1;Runtime;Demand-3;Demand-2;Demand-5;Demand-4;NoRunningPrior;AvgLoadPosterior;AvgLoadPrior
19;generated/Evaluation/data_1426983323044.dat;31;generated/Evaluation/model_1426983323039.mod;7786.588425584503;0.24193556100000002;8500.869805397166;8264.770964188432;8499.01873337278;8554.791616475179;10;0.4192155115278592;0.16535779176122417
15;generated/Evaluation/data_1426983323288.dat;31;generated/Evaluation/model_1426983323039.mod;8264.770964188432;0.214547278;8554.791616475179;8500.869805397166;8571.55917472296;8499.01873337278;19;0.46334192736979524;0.4192155115278592
15;generated/Evaluation/data_1426983323503.dat;31;generated/Evaluation/model_1426983323039.mod;8500.869805397166;0.21768218700000003;8499.01873337278;8554.791616475179;8698.029727922562;8571.55917472296;15;0.46738749060608237;0.46334192736979524
15;generated/Evaluation/data_1426983323722.dat;31;generated/Evaluation/model_1426983323039.mod;8554.791616475179;0.257572584;8571.55917472296;8499.01873337278;8519.48013489792;8698.029727922562;15;0.46831144302962846;0.46738749060608237
15;generated/Evaluation/data_1426983323980.dat;31;generated/Evaluation/model_1426983323039.mod;8499.01873337278;0.240448292;8698.029727922562;8571.55917472296;8818.274702564819;8519.48013489792;15;0.46735577241173953;0.46831144302962846
15;generated/Evaluation/data_1426983324222.dat;31;generated/Evaluation/model_1426983323039.mod;8571.55917472296;0.209987642;8519.48013489792;8698.029727922562;8875.525122978159;8818.274702564819;15;0.4685987558214331;0.46735577241173953
15;generated/Evaluation/data_1426983324432.dat;31;generated/Evaluation/model_1426983323039.mod;8698.029727922562;0.22746186100000002;8818.274702564819;8519.48013489792;9335.520671423232;8875.525122978159;15;0.4707658338887281;0.4685987558214331
15;generated/Evaluation/data_1426983324662.dat;31;generated/Evaluation/model_1426983323039.mod;8519.48013489792;0.22304912500000001;8875.525122978159;8818.274702564819;9152.737684979596;9335.520671423232;15;0.4677063793581745;0.4707658338887281
15;generated/Evaluation/data_1426983324886.dat;31;generated/Evaluation/model_1426983323039.mod;8818.274702564819;0.293799172;9335.520671423232;8875.525122978159;9577.845091189309;9152.737684979596;15;0.47282623641451144;0.4677063793581745
15;generated/Evaluation/data_1426983325180.dat;31;generated/Evaluation/model_1426983323039.mod;8875.525122978159;0.412601158;9152.737684979596;9335.520671423232;9527.127377875477;9577.845091189309;15;0.47380722469425246;0.47282623641451144
