NoRunningPosterior;DataFile;CountPlants;ModelFile;Demand-1;Runtime;Demand-3;Demand-2;Demand-5;Demand-4;NoRunningPrior;AvgLoadPosterior;AvgLoadPrior
36;generated/Evaluation/data_1427125495475.dat;48;generated/Evaluation/model_1427125495471.mod;14177.388999433811;0.7740613310000001;15477.912980306253;15048.037284920374;15474.542650872965;15576.090827833823;25;0.5547589763305765;0.3043882360047785
30;generated/Evaluation/data_1427125496250.dat;48;generated/Evaluation/model_1427125495471.mod;15048.037284920374;2.52138548;15576.090827833823;15477.912980306253;15606.620269337163;15474.542650872965;36;0.6164616211064139;0.5547589763305765
30;generated/Evaluation/data_1427125498772.dat;48;generated/Evaluation/model_1427125495471.mod;15477.912980306253;3.8462258400000002;15474.542650872965;15576.090827833823;15836.890848913834;15606.620269337163;30;0.6240217594250179;0.6164616211064139
31;generated/Evaluation/data_1427125502619.dat;48;generated/Evaluation/model_1427125495471.mod;15576.090827833823;3.8784851980000004;15606.620269337163;15474.542650872965;15511.797637657979;15836.890848913834;30;0.6320750804491965;0.6240217594250179
30;generated/Evaluation/data_1427125506498.dat;48;generated/Evaluation/model_1427125495471.mod;15474.542650872965;4.4458346010000005;15836.890848913834;15606.620269337163;16055.826239813523;15511.797637657979;31;0.6239624861118988;0.6320750804491965
34;generated/Evaluation/data_1427125510947.dat;48;generated/Evaluation/model_1427125495471.mod;15606.620269337163;4.007821559;15511.797637657979;15836.890848913834;16160.064634887052;16055.826239813523;30;0.6960161465007575;0.6239624861118988
35;generated/Evaluation/data_1427125514955.dat;48;generated/Evaluation/model_1427125495471.mod;15836.890848913834;4.198263323;16055.826239813523;15511.797637657979;16997.599055851922;16160.064634887052;34;0.6747686751215788;0.6960161465007575
31;generated/Evaluation/data_1427125519154.dat;48;generated/Evaluation/model_1427125495471.mod;15511.797637657979;0.753890653;16160.064634887052;16055.826239813523;16664.797916295724;16997.599055851922;35;0.6309443689065556;0.6747686751215788
31;generated/Evaluation/data_1427125519908.dat;48;generated/Evaluation/model_1427125495471.mod;16055.826239813523;0.752980073;16997.599055851922;16160.064634887052;17438.809939914783;16664.797916295724;31;0.6243398124415335;0.6309443689065556
31;generated/Evaluation/data_1427125520663.dat;48;generated/Evaluation/model_1427125495471.mod;16160.064634887052;0.7021739410000001;16664.797916295724;16997.599055851922;17346.465936159635;17438.809939914783;31;0.6261730323544615;0.6243398124415335
31;generated/Evaluation/data_1427125521367.dat;48;generated/Evaluation/model_1427125495471.mod;16997.599055851922;0.5966204300000001;17438.809939914783;16664.797916295724;17396.612810866605;17346.465936159635;31;0.6359554926701906;0.6261730323544615
31;generated/Evaluation/data_1427125521964.dat;48;generated/Evaluation/model_1427125495471.mod;16664.797916295724;0.623030458;17346.465936159635;17438.809939914783;18001.926999802366;17396.612810866605;31;0.6334651615405303;0.6359554926701906
31;generated/Evaluation/data_1427125522588.dat;48;generated/Evaluation/model_1427125495471.mod;17438.809939914783;0.591739413;17396.612810866605;17346.465936159635;18601.286436286486;18001.926999802366;31;0.6392570474689271;0.6334651615405303
31;generated/Evaluation/data_1427125523180.dat;48;generated/Evaluation/model_1427125495471.mod;17346.465936159635;0.650048929;18001.926999802366;17396.612810866605;18834.38325623995;18601.286436286486;31;0.6385660427821774;0.6392570474689271
31;generated/Evaluation/data_1427125523831.dat;48;generated/Evaluation/model_1427125495471.mod;17396.612810866605;1.951903799;18601.286436286486;18001.926999802366;18055.595339791653;18834.38325623995;31;0.6389412888624778;0.6385660427821774
31;generated/Evaluation/data_1427125525785.dat;48;generated/Evaluation/model_1427125495471.mod;18001.926999802366;1.892711607;18834.38325623995;18601.286436286486;18482.070478574435;18055.595339791653;31;0.6434708189294183;0.6389412888624778
32;generated/Evaluation/data_1427125527678.dat;48;generated/Evaluation/model_1427125495471.mod;18601.286436286486;3.155272015;18055.595339791653;18834.38325623995;19205.980968241238;18482.070478574435;31;0.660079627454962;0.6434708189294183
36;generated/Evaluation/data_1427125530834.dat;48;generated/Evaluation/model_1427125495471.mod;18834.38325623995;3.4539990310000004;18482.070478574435;18055.595339791653;18772.68960266736;19205.980968241238;32;0.7149539373750021;0.660079627454962
34;generated/Evaluation/data_1427125534290.dat;48;generated/Evaluation/model_1427125495471.mod;18055.595339791653;2.26942103;19205.980968241238;18482.070478574435;19027.08146374865;18772.68960266736;36;0.6642426383657745;0.7149539373750021
32;generated/Evaluation/data_1427125536560.dat;48;generated/Evaluation/model_1427125495471.mod;18482.070478574435;2.997161454;18772.68960266736;19205.980968241238;18750.880699652847;19027.08146374865;34;0.6540917931853677;0.6642426383657745
37;generated/Evaluation/data_1427125539558.dat;48;generated/Evaluation/model_1427125495471.mod;19205.980968241238;8.837460024;19027.08146374865;18772.68960266736;19194.585325224645;18750.880699652847;32;0.7332264990138722;0.6540917931853677
35;generated/Evaluation/data_1427125548397.dat;48;generated/Evaluation/model_1427125495471.mod;18772.68960266736;4.6447538370000006;18750.880699652847;19027.08146374865;19739.596310398858;19194.585325224645;37;0.6877022599417129;0.7332264990138722
37;generated/Evaluation/data_1427125553043.dat;48;generated/Evaluation/model_1427125495471.mod;19027.08146374865;5.243585125;19194.585325224645;18750.880699652847;19527.58294138458;19739.596310398858;35;0.7392018762630177;0.6877022599417129
35;generated/Evaluation/data_1427125558287.dat;48;generated/Evaluation/model_1427125495471.mod;18750.880699652847;21.043170282000002;19739.596310398858;19194.585325224645;18815.143662658884;19527.58294138458;37;0.6866068688601938;0.7392018762630177
37;generated/Evaluation/data_1427125579331.dat;48;generated/Evaluation/model_1427125495471.mod;19194.585325224645;19.980536873000002;19527.58294138458;19739.596310398858;18586.73205402524;18815.143662658884;35;0.7317121212632322;0.6866068688601938
36;generated/Evaluation/data_1427125599313.dat;48;generated/Evaluation/model_1427125495471.mod;19739.596310398858;147.635536419;18815.143662658884;19527.58294138458;19171.023246361423;18586.73205402524;37;0.6840212147272632;0.7317121212632322
40;generated/Evaluation/data_1427125746950.dat;48;generated/Evaluation/model_1427125495471.mod;19527.58294138458;23.491418449;18586.73205402524;18815.143662658884;18723.22283928101;19171.023246361423;36;0.7790317355241684;0.6840212147272632
36;generated/Evaluation/data_1427125770442.dat;48;generated/Evaluation/model_1427125495471.mod;18815.143662658884;3.0067268740000004;19171.023246361423;18586.73205402524;18118.301603552718;18723.22283928101;40;0.7256796989613189;0.7790317355241684
35;generated/Evaluation/data_1427125773450.dat;48;generated/Evaluation/model_1427125495471.mod;18586.73205402524;1.3499177150000001;18723.22283928101;19171.023246361423;17641.256409685688;18118.301603552718;36;0.6783622101378227;0.7256796989613189
34;generated/Evaluation/data_1427125774801.dat;48;generated/Evaluation/model_1427125495471.mod;19171.023246361423;1.318520826;18118.301603552718;18723.22283928101;18187.718299010558;17641.256409685688;35;0.6809890154022878;0.6783622101378227
32;generated/Evaluation/data_1427125776120.dat;48;generated/Evaluation/model_1427125495471.mod;18723.22283928101;0.639729129;17641.256409685688;18118.301603552718;17875.7436794502;18187.718299010558;34;0.6662041009447038;0.6809890154022878
32;generated/Evaluation/data_1427125776761.dat;48;generated/Evaluation/model_1427125495471.mod;18118.301603552718;0.586461;18187.718299010558;17641.256409685688;17073.046071685916;17875.7436794502;32;0.6505469749628524;0.6662041009447038
31;generated/Evaluation/data_1427125777348.dat;48;generated/Evaluation/model_1427125495471.mod;17641.256409685688;0.573319653;17875.7436794502;18187.718299010558;16997.311897738775;17073.046071685916;32;0.6407719423591087;0.6505469749628524
31;generated/Evaluation/data_1427125777922.dat;48;generated/Evaluation/model_1427125495471.mod;18187.718299010558;0.64758629;17073.046071685916;17875.7436794502;17235.84960825719;16997.311897738775;31;0.6448610841690602;0.6407719423591087
31;generated/Evaluation/data_1427125778571.dat;48;generated/Evaluation/model_1427125495471.mod;17875.7436794502;0.624219119;16997.311897738775;17073.046071685916;17199.75836750968;17235.84960825719;31;0.6425265966496029;0.6448610841690602
31;generated/Evaluation/data_1427125779197.dat;48;generated/Evaluation/model_1427125495471.mod;17073.046071685916;0.696040757;17235.84960825719;16997.311897738775;15898.79609267506;17199.75836750968;31;0.6365200582014924;0.6425265966496029
31;generated/Evaluation/data_1427125779893.dat;48;generated/Evaluation/model_1427125495471.mod;16997.311897738775;0.9657767530000001;17199.75836750968;17235.84960825719;16654.263747618577;15898.79609267506;31;0.6359533438831123;0.6365200582014924
31;generated/Evaluation/data_1427125780860.dat;48;generated/Evaluation/model_1427125495471.mod;17235.84960825719;0.8674270550000001;15898.79609267506;17199.75836750968;16673.835840067502;16654.263747618577;31;0.6377383073808158;0.6359533438831123
31;generated/Evaluation/data_1427125781729.dat;48;generated/Evaluation/model_1427125495471.mod;17199.75836750968;0.6630504340000001;16654.263747618577;15898.79609267506;16090.738620938628;16673.835840067502;31;0.6374682387732941;0.6377383073808158
31;generated/Evaluation/data_1427125782393.dat;48;generated/Evaluation/model_1427125495471.mod;15898.79609267506;0.7926959870000001;16673.835840067502;16654.263747618577;16583.849555557164;16090.738620938628;31;0.6215781544894786;0.6374682387732941
31;generated/Evaluation/data_1427125783187.dat;48;generated/Evaluation/model_1427125495471.mod;16654.263747618577;1.619387817;16090.738620938628;16673.835840067502;16048.889104343209;16583.849555557164;31;0.6333863349829747;0.6215781544894786
31;generated/Evaluation/data_1427125784807.dat;48;generated/Evaluation/model_1427125495471.mod;16673.835840067502;1.613228332;16583.849555557164;16090.738620938628;16022.818170386148;16048.889104343209;31;0.6335327917864674;0.6333863349829747
31;generated/Evaluation/data_1427125786422.dat;48;generated/Evaluation/model_1427125495471.mod;16090.738620938628;2.5051451460000003;16048.889104343209;16583.849555557164;15899.733134939022;16022.818170386148;31;0.6249538095415572;0.6335327917864674
31;generated/Evaluation/data_1427125788927.dat;48;generated/Evaluation/model_1427125495471.mod;16583.849555557164;1.9361734410000002;16022.818170386148;16048.889104343209;16597.421554799737;15899.733134939022;31;0.632859429772571;0.6249538095415572
31;generated/Evaluation/data_1427125790864.dat;48;generated/Evaluation/model_1427125495471.mod;16048.889104343209;2.2226488420000003;15899.733134939022;16022.818170386148;16761.64576835186;16597.421554799737;31;0.6242178104203598;0.632859429772571
31;generated/Evaluation/data_1427125793089.dat;48;generated/Evaluation/model_1427125495471.mod;16022.818170386148;1.194237398;16597.421554799737;15899.733134939022;16257.48680316949;16761.64576835186;31;0.62375930609242;0.6242178104203598
31;generated/Evaluation/data_1427125794284.dat;48;generated/Evaluation/model_1427125495471.mod;15899.733134939022;2.172725707;16761.64576835186;16597.421554799737;16293.139749954824;16257.48680316949;31;0.6433928773388274;0.62375930609242
32;generated/Evaluation/data_1427125796458.dat;48;generated/Evaluation/model_1427125495471.mod;16597.421554799737;0.7488970570000001;16257.48680316949;16761.64576835186;16690.082943837842;16293.139749954824;31;0.6386032467026613;0.6433928773388274
40;generated/Evaluation/data_1427125797198.dat;48;generated/Evaluation/model_1427125797193.mod;14755.784831743864;0.527355408;16109.366371408403;15661.953010191919;16105.858542432863;16211.549586767622;25;0.26744727167149557;0.30270241938823483
27;generated/Evaluation/data_1427125797727.dat;48;generated/Evaluation/model_1427125797193.mod;15661.953010191919;0.555949353;16211.549586767622;16109.366371408403;16243.324539819598;16105.858542432863;40;0.5422177129676858;0.26744727167149557
27;generated/Evaluation/data_1427125798284.dat;48;generated/Evaluation/model_1427125797193.mod;16109.366371408403;0.51708436;16105.858542432863;16211.549586767622;16482.98948274033;16243.324539819598;27;0.5587449854656676;0.5422177129676858
29;generated/Evaluation/data_1427125798802.dat;48;generated/Evaluation/model_1427125797193.mod;16211.549586767622;0.494453609;16243.324539819598;16105.858542432863;16144.633423261139;16482.98948274033;27;0.5625156961446628;0.5587449854656676
28;generated/Evaluation/data_1427125799298.dat;48;generated/Evaluation/model_1427125797193.mod;16105.858542432863;0.336632355;16482.98948274033;16243.324539819598;16710.856794577405;16144.633423261139;29;0.5586154076515465;0.5625156961446628
28;generated/Evaluation/data_1427125799635.dat;48;generated/Evaluation/model_1427125797193.mod;16243.324539819598;0.345796209;16144.633423261139;16482.98948274033;16819.347810022686;16710.856794577405;28;0.5634560020698888;0.5586154076515465
28;generated/Evaluation/data_1427125799982.dat;48;generated/Evaluation/model_1427125797193.mod;16482.98948274033;0.50277488;16710.856794577405;16144.633423261139;17691.05117553169;16819.347810022686;28;0.5705483293356034;0.5634560020698888
