AbstractionError;TopLevelViolation Abstracted;topLevelViolationActualCentral;topLevelViolationActualRegioCentral;relativeTLViolationCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepCentral;runtimePerStepRegioCentral;runtimePerAvppPerStep;unsolvedCentralAllocations;Totalruntimecentral;Totalruntimeregiocentral;timestamps;Toplevelcostscentral;Toplevelcostsregiocentral;Rootcostsregiocentral;Longest serial path
0.0;0.0;3.637978807091713E-12;0.0;2.3005631319082937E-16;0.0;0.0;0.0;3.4868800000000005E-4;4.895014832;4.2972187680000005;0.203630848;0.0;109.159588704;269.27371953600004;1.424676244735E12;1825.9203648753742;1832.7672635871772;1833.174820771144;1.23784056E9
0.0;3.637978807091713E-12;3.637978807091713E-12;3.637978807091713E-12;2.3482756204234733E-16;2.3482757720021117E-16;2.3482757720021117E-16;0.0;3.4932800000000004E-4;3.6733512160000004;4.077348784000001;1.072450688;0.0;1980.064055904;263.05913576;1.42467662342E12;1767.26456605432;1779.3680583325304;1778.5982994764845;1.65389872E8
0.0;1.8189894035458565E-12;0.0;3.637978807091713E-12;0.0;2.4905706205800714E-16;1.2452853102900357E-16;1.768279791330783E-16;3.3073600000000004E-4;2.390663392;4.4678774720000005;0.157295328;0.0;345.90283190400004;306.51106894400004;1.42467886737E12;1616.9756346798192;1630.5688180743884;1629.2416198273986;1.08537512E9
9.094947017729282E-13;1.8189894035458565E-12;3.637978807091713E-12;1.8189894035458565E-12;2.3786490137457597E-16;1.189324584635448E-16;1.189324584635448E-16;0.0;3.34112E-4;2.4990232640000003;4.889557488;0.928079792;0.0;83.61324832000001;254.933909168;1.424679520007E12;1731.9731653259432;1747.982283976633;1745.1659667679316;1.194039664E9
0.0;3.637978807091713E-12;0.0;3.637978807091713E-12;0.0;2.335882541720926E-16;2.335882541720926E-16;0.0;3.3899200000000004E-4;3.6818650240000004;4.433233648;1.0367443360000002;0.0;2063.08419224;304.4537048;1.424679858814E12;1781.9077518258564;1791.7761826558092;1792.4894181088898;2.339741536E9
0.0;3.637978807091713E-12;1.8189894035458565E-12;3.637978807091713E-12;1.181084773615576E-16;2.362169700608773E-16;2.362169700608773E-16;0.0;3.02976E-4;16.480314160000002;4.174166192;2.182446208;0.0;1931.7078403040002;309.953927024;1.424682226583E12;1751.3260684036986;1766.2342449473335;1763.1984076592862;3.08358464E8
0.0;1.8189894035458565E-12;1.8189894035458565E-12;1.8189894035458565E-12;1.259789674053762E-16;1.2597897613038654E-16;1.2597897613038654E-16;1.928238140401808E-16;2.99792E-4;5.223282448;4.23815672;0.15106313600000001;0.0;78.761092464;233.04654369600001;1.424684468472E12;1588.6947736903796;1606.3689932520106;1600.9955078922023;1.317638512E9
0.0;1.8189894035458565E-12;1.8189894035458565E-12;1.8189894035458565E-12;1.1869008562330685E-16;1.1869009336790247E-16;1.1869009336790247E-16;0.0;3.05232E-4;4.331852560000001;3.82777;1.160343184;0.0;125.55724675200001;213.904924512;1.424684780501E12;1737.6373537743125;1753.6819347281573;1750.4440715816302;1.57295328E8
9.094947017729282E-13;0.0;1.8189894035458565E-12;1.8189894035458565E-12;1.1539364766549572E-16;1.1539365498587633E-16;0.0;0.0;2.95248E-4;13.501254288;3.7444552640000004;0.164279168;0.0;104.61000873600001;251.96642851200002;1.424685120199E12;1815.8564968265669;1824.3877884124017;1824.530613494513;8.484368E8
0.0;1.8189894035458565E-12;1.8189894035458565E-12;1.8189894035458565E-12;1.1466630860737086E-16;1.1466631583575994E-16;1.1466631583575994E-16;0.0;2.9790400000000004E-4;5.9344085920000005;4.0372622080000005;0.684157632;0.0;161.08805873600002;313.95998504;1.424685477E12;1833.966105211773;1841.1158371940066;1841.7871502090165;1.251756832E9
