03.10.2011;03:45;850535
03.10.2011;04:00;843045
03.10.2011;04:15;866152
03.10.2011;04:30;887518
03.10.2011;04:45;866283
03.10.2011;05:00;879737
03.10.2011;05:15;885666
03.10.2011;05:30;901213
03.10.2011;05:45;892754
03.10.2011;06:00;909904
03.10.2011;06:15;908387
03.10.2011;06:30;959516
03.10.2011;06:45;939183
03.10.2011;07:00;936877
03.10.2011;07:15;981761
03.10.2011;07:30;982861
03.10.2011;07:45;953598
03.10.2011;08:00;1001915
03.10.2011;08:15;1020576
03.10.2011;08:30;1033520
03.10.2011;08:45;993151
03.10.2011;09:00;988391
03.10.2011;09:15;1036123
03.10.2011;09:30;1051549
03.10.2011;09:45;1034731
03.10.2011;10:00;1047384
03.10.2011;10:15;1099579
03.10.2011;10:30;1114269
03.10.2011;10:45;1085283
03.10.2011;11:00;1088127
03.10.2011;11:15;1119263
03.10.2011;11:30;1095767
03.10.2011;11:45;1045902
03.10.2011;12:00;1026023
03.10.2011;12:15;1027326
03.10.2011;12:30;1043736
03.10.2011;12:45;1019296
03.10.2011;13:00;979255
03.10.2011;13:15;935942
03.10.2011;13:30;993144
03.10.2011;13:45;979110
03.10.2011;14:00;980689
03.10.2011;14:15;980074
03.10.2011;14:30;920662
03.10.2011;14:45;947037
03.10.2011;15:00;952821
03.10.2011;15:15;924366
03.10.2011;15:30;953567
03.10.2011;15:45;962371
03.10.2011;16:00;972636
03.10.2011;16:15;917941
03.10.2011;16:30;986894
03.10.2011;16:45;1007501
03.10.2011;17:00;1011635
03.10.2011;17:15;1024837
03.10.2011;17:30;1043393
03.10.2011;17:45;1083055
03.10.2011;18:00;1084728
03.10.2011;18:15;1106857
03.10.2011;18:30;1164316
03.10.2011;18:45;1178342
03.10.2011;19:00;1208605
03.10.2011;19:15;1263211
03.10.2011;19:30;1282920
03.10.2011;19:45;1218330
03.10.2011;20:00;1265344
03.10.2011;20:15;1281004
03.10.2011;20:30;1251071
03.10.2011;20:45;1194489
03.10.2011;21:00;1180012
03.10.2011;21:15;1145057
03.10.2011;21:30;1167239
03.10.2011;21:45;1156572
03.10.2011;22:00;1195695
03.10.2011;22:15;1181865
03.10.2011;22:30;1114154
03.10.2011;22:45;1104132
03.10.2011;23:00;1104646
03.10.2011;23:15;1094616
03.10.2011;23:30;1039070
03.10.2011;23:45;1028277
04.10.2011;00:00;1030478
04.10.2011;00:15;1029304
04.10.2011;00:30;996484
04.10.2011;00:45;952901
04.10.2011;01:00;992359
04.10.2011;01:15;984360
04.10.2011;01:30;970382
04.10.2011;01:45;925073
04.10.2011;02:00;966006
04.10.2011;02:15;973708
04.10.2011;02:30;963432
04.10.2011;02:45;902064
04.10.2011;03:00;939876
04.10.2011;03:15;938985
04.10.2011;03:30;952241
04.10.2011;03:45;914931
04.10.2011;04:00;963623
04.10.2011;04:15;997009
04.10.2011;04:30;992293
04.10.2011;04:45;1002032
04.10.2011;05:00;1055445
04.10.2011;05:15;1096238
04.10.2011;05:30;1109781
04.10.2011;05:45;1117059
04.10.2011;06:00;1207540
04.10.2011;06:15;1281328
04.10.2011;06:30;1370114
04.10.2011;06:45;1369815
04.10.2011;07:00;1425769
04.10.2011;07:15;1459568
04.10.2011;07:30;1473255
04.10.2011;07:45;1470274
04.10.2011;08:00;1465795
04.10.2011;08:15;1497505
04.10.2011;08:30;1504363
04.10.2011;08:45;1472559
04.10.2011;09:00;1415679
04.10.2011;09:15;1444818
04.10.2011;09:30;1474642
04.10.2011;09:45;1494850
04.10.2011;10:00;1439440
04.10.2011;10:15;1499763
04.10.2011;10:30;1499870
04.10.2011;10:45;1475762
04.10.2011;11:00;1452784
04.10.2011;11:15;1437032
04.10.2011;11:30;1481572
04.10.2011;11:45;1484360
04.10.2011;12:00;1471787
04.10.2011;12:15;1411462
04.10.2011;12:30;1421846
04.10.2011;12:45;1460808
04.10.2011;13:00;1476021
04.10.2011;13:15;1415963
04.10.2011;13:30;1441178
04.10.2011;13:45;1416643
04.10.2011;14:00;1453233
04.10.2011;14:15;1392769
04.10.2011;14:30;1412543
04.10.2011;14:45;1449434
04.10.2011;15:00;1449517
04.10.2011;15:15;1460144
04.10.2011;15:30;1414850
04.10.2011;15:45;1386891
04.10.2011;16:00;1440947
04.10.2011;16:15;1469125
04.10.2011;16:30;1465836
04.10.2011;16:45;1454030
04.10.2011;17:00;1441170
04.10.2011;17:15;1442066
04.10.2011;17:30;1478071
04.10.2011;17:45;1485748
04.10.2011;18:00;1509432
04.10.2011;18:15;1511791
04.10.2011;18:30;1476491
04.10.2011;18:45;1545081
04.10.2011;19:00;1602670
04.10.2011;19:15;1619487
04.10.2011;19:30;1601126
04.10.2011;19:45;1611838
04.10.2011;20:00;1594609
04.10.2011;20:15;1525378
04.10.2011;20:30;1495370
04.10.2011;20:45;1470837
04.10.2011;21:00;1396006
04.10.2011;21:15;1403280
04.10.2011;21:30;1418006
04.10.2011;21:45;1389129
04.10.2011;22:00;1382467
04.10.2011;22:15;1353099
04.10.2011;22:30;1310215
04.10.2011;22:45;1328073
04.10.2011;23:00;1274766
04.10.2011;23:15;1225492
04.10.2011;23:30;1157065
04.10.2011;23:45;1178170
05.10.2011;00:00;1162955
05.10.2011;00:15;1180406
05.10.2011;00:30;1094514
05.10.2011;00:45;1155131
05.10.2011;01:00;1130084
05.10.2011;01:15;1100532
05.10.2011;01:30;1060003
05.10.2011;01:45;1059301
05.10.2011;02:00;1051872
05.10.2011;02:15;1049453
05.10.2011;02:30;1087014
05.10.2011;02:45;1050746
05.10.2011;03:00;1095333
05.10.2011;03:15;1055864
05.10.2011;03:30;1081000
05.10.2011;03:45;1059627
05.10.2011;04:00;1115905
05.10.2011;04:15;1121997
05.10.2011;04:30;1090023
05.10.2011;04:45;1105140
05.10.2011;05:00;1153353
05.10.2011;05:15;1214204
05.10.2011;05:30;1239247
05.10.2011;05:45;1197495
05.10.2011;06:00;1284795
05.10.2011;06:15;1352854
05.10.2011;06:30;1401150
05.10.2011;06:45;1437416
05.10.2011;07:00;1469611
05.10.2011;07:15;1528367
05.10.2011;07:30;1508682
05.10.2011;07:45;1516885
05.10.2011;08:00;1520099
05.10.2011;08:15;1530869
05.10.2011;08:30;1518375
05.10.2011;08:45;1532222
05.10.2011;09:00;1540119
05.10.2011;09:15;1477013
05.10.2011;09:30;1479501
05.10.2011;09:45;1511453
05.10.2011;10:00;1493115
05.10.2011;10:15;1495785
05.10.2011;10:30;1436141
05.10.2011;10:45;1489658
05.10.2011;11:00;1509566
05.10.2011;11:15;1609650
05.10.2011;11:30;1556876
05.10.2011;11:45;1528831
05.10.2011;12:00;1496732
05.10.2011;12:15;1456668
05.10.2011;12:30;1497588
05.10.2011;12:45;1501515
05.10.2011;13:00;1556103
05.10.2011;13:15;1567536
05.10.2011;13:30;1507396
05.10.2011;13:45;1418893
05.10.2011;14:00;1508323
05.10.2011;14:15;1504862
05.10.2011;14:30;1530965
05.10.2011;14:45;1436687
05.10.2011;15:00;1469291
05.10.2011;15:15;1476210
05.10.2011;15:30;1521206
05.10.2011;15:45;1499569
05.10.2011;16:00;1465992
05.10.2011;16:15;1492280
05.10.2011;16:30;1529409
05.10.2011;16:45;1535016
05.10.2011;17:00;1539923
05.10.2011;17:15;1476434
05.10.2011;17:30;1583152
05.10.2011;17:45;1572288
05.10.2011;18:00;1552494
05.10.2011;18:15;1509576
05.10.2011;18:30;1591335
05.10.2011;18:45;1619020
05.10.2011;19:00;1630414
05.10.2011;19:15;1623018
05.10.2011;19:30;1638585
05.10.2011;19:45;1671001
05.10.2011;20:00;1610215
05.10.2011;20:15;1593983
05.10.2011;20:30;1562798
