topLevelViolationActualCentral;relativeTLViolationCentral;runtimePerStepCentral;unsolvedCentralAllocations;Total runtime central;time stamps;Top level costs central
3.637978807091713E-12;2.1130489700129772E-16;2.162979683;0.0;10.499775496;1.423555703185E12;2067.8091886846873
0.0;0.0;1.9341890160000001;0.0;6.133358017;1.423555713749E12;2047.7570648885685
1.8189894035458565E-12;1.1671429727700718E-16;2.1738594140000003;0.0;;;1783.8079735270726
1.8189894035458565E-12;1.1509851349260986E-16;2.094094497;0.0;;;1822.9239356257397
1.8189894035458565E-12;1.1154550835173095E-16;2.12611208;0.0;;;1908.9061242507255
0.0;0.0;1.654364748;0.0;;;1864.6320840977355
0.0;0.0;1.367117288;0.0;;;1845.6866878213564
0.0;0.0;1.670498953;0.0;;;1596.6238959724612
3.637978807091713E-12;2.192323127393889E-16;0.823918318;0.0;;;1632.5268687576224
0.0;0.0;0.615280601;0.0;;;1715.0800019524927
