topLevelViolationActualCentral;relativeTLViolationCentral;runtimePerStepCentral;unsolvedCentralAllocations;Total runtime central;time stamps;Top level costs central
2.9103830456733704E-11;8.246397183070686E-16;2.718345568;0.0;184.43884057600002;1.423829541268E12;3902.2590768725277
7.275957614183426E-12;2.0754357937714207E-16;2.4772607520000003;0.0;261.52588686400003;1.423829725818E12;3863.130411516465
0.0;0.0;2.156497952;0.0;289.42260460800003;1.423829987416E12;3349.9992557589426
7.275957614183426E-12;2.24592064224554E-16;2.8441913920000004;0.0;239.17049728;1.423830276907E12;3421.9788672334175
0.0;0.0;3.1426864;0.0;263.3524848;1.42383051615E12;3592.461970524547
7.275957614183426E-12;2.2054011244670287E-16;4.994238608000001;0.0;199.220573008;1.423830779573E12;3519.6888911522365
3.637978807091713E-12;1.131709939545898E-16;2.216417584;0.0;244.820360208;1.423830978849E12;3381.7625795170575
3.637978807091713E-12;1.19011197812838E-16;4.125917152;0.0;317.80018179200005;1.423831223739E12;3129.2744427353377
7.275957614183426E-12;2.3571511990702417E-16;3.886851264;0.0;236.62351148800002;1.423831541607E12;3176.8132390164897
0.0;0.0;7.098064912000001;0.0;234.75163913600002;1.423831778307E12;3303.928265292067
3.637978807091713E-12;1.1222738830096356E-16;2.523866544;0.0;255.99488134400002;1.42383201312E12;3425.1611870787287
3.637978807091713E-12;1.145549263190065E-16;2.5274275200000003;0.0;241.139085808;1.42383226918E12;3319.470834964019
7.275957614183426E-12;2.4299286888711355E-16;6.684546784;0.0;223.76225720000002;1.423832510389E12;3030.1671031076353
3.637978807091713E-12;1.1603661863840463E-16;3.8373664;0.0;338.46874272;1.423832734219E12;3254.4660506736286
0.0;0.0;7.004014592000001;0.0;235.915403456;1.423833072757E12;3346.496989978093
3.637978807091713E-12;1.1523270783699502E-16;5.227512432;0.0;284.0960956;1.423833308739E12;3289.509254873508
3.637978807091713E-12;1.229115631756163E-16;5.369562656;0.0;310.50322096;1.423833592911E12;2975.7724987062697
1.0913936421275139E-11;3.474004644090824E-16;5.24596072;0.0;203.657078976;1.423833903478E12;3264.7242953238588
3.637978807091713E-12;1.1258398020671348E-16;1.5955413280000001;0.0;289.176819248;1.423834107215E12;3408.6719055872586
3.637978807091713E-12;1.118743507736902E-16;1.600910944;0.0;170.06253144000001;1.423834396456E12;3441.589659910733
7.275957614183426E-12;2.2521700161600374E-16;2.054773344;0.0;;;3407.541877998877
0.0;0.0;3.9279909760000002;0.0;;;3452.0033891594603
0.0;0.0;2.835550624;0.0;;;3531.5010489800707
0.0;0.0;3.596430224;0.0;;;3420.0329901305518
0.0;0.0;4.977200768;0.0;;;3607.81269884659
2.1827872842550278E-11;6.469893865883976E-16;1.8825698720000001;0.0;;;3644.031731305873
1.4551915228366852E-11;4.100732221560404E-16;1.7975453600000002;0.0;;;3934.4141608609752
0.0;0.0;6.610150832;0.0;;;3818.869945876352
1.4551915228366852E-11;3.9969815846007824E-16;5.420875328;0.0;;;4087.939321517456
7.275957614183426E-12;2.009129768378402E-16;5.601593072;0.0;;;4055.685899905461
1.4551915228366852E-11;4.0066766410418498E-16;2.230548208;0.0;;;4073.200933114723
7.275957614183426E-12;1.9359761387724165E-16;3.80399272;0.0;;;4285.545877373463
7.275957614183426E-12;1.8735962844716788E-16;2.466188528;0.0;;;4496.44331009845
0.0;0.0;2.586245984;0.0;;;4579.074724557617
1.4551915228366852E-11;3.8604433108322876E-16;2.847121328;0.0;;;4304.392887645603
7.275957614183426E-12;1.8856816495766954E-16;5.816002848;0.0;;;4454.2402102334445
7.275957614183426E-12;1.8146066706670722E-16;2.3533019360000003;0.0;;;4711.3418121986015
7.275957614183426E-12;1.856489501465037E-16;4.767360976;0.0;;;4557.204697077726
0.0;0.0;4.284187328000001;0.0;;;4647.675302089579
7.275957614183426E-12;1.8586487599606337E-16;7.174710512000001;0.0;;;4549.473572713818
7.275957614183426E-12;1.8156839853872422E-16;5.922663744;0.0;;;4707.285471997901
7.275957614183426E-12;1.7655528845243936E-16;4.459795216;0.0;;;4901.897210343114
7.275957614183426E-12;1.784721708805553E-16;2.9043756480000003;0.0;;;4826.429915468603
7.275957614183426E-12;1.8523005611053212E-16;2.265040624;0.0;;;4572.254404865824
7.275957614183426E-12;1.8750634082105613E-16;2.490348496;0.0;;;4491.283869514635
7.275957614183426E-12;1.8179155453637605E-16;2.3817626720000002;0.0;;;4698.898423758002
7.275957614183426E-12;1.8613943474596145E-16;5.779896176;0.0;;;4539.669028302207
0.0;0.0;3.9144814880000003;0.0;;;4326.425510135401
0.0;0.0;6.673418656000001;0.0;;;5283.227120225795
7.275957614183426E-12;1.7611979446431405E-16;4.059929680000001;0.0;;;5235.092933235525
0.0;0.0;4.457983424;0.0;;;4603.113765823215
3.637978807091713E-11;9.529350009835525E-16;4.962035936;0.0;;;4693.0290152650105
0.0;0.0;7.73665072;0.0;;;4901.844350373426
7.275957614183426E-12;1.8714854683686987E-16;5.908052928;0.0;;;4812.920224428487
0.0;0.0;6.658286448;0.0;;;4642.746367823922
0.0;0.0;4.158618832;0.0;;;4327.32733395902
0.0;0.0;4.95758336;0.0;;;4387.030830966749
0.0;0.0;3.7578889760000003;0.0;;;4545.617234580967
1.4551915228366852E-11;3.8094099807098236E-16;6.185698272000001;0.0;;;4697.062786926676
0.0;0.0;4.6542443680000005;0.0;;;4564.994899225032
0.0;0.0;4.599636768;0.0;;;4203.055899125394
7.275957614183426E-12;1.969354628718739E-16;4.382667744;0.0;;;4483.900224524442
0.0;0.0;4.331685696;0.0;;;4598.747323643567
0.0;0.0;5.311198288;0.0;;;4527.640364971414
7.275957614183426E-12;2.086035070416134E-16;4.6228442560000005;0.0;;;4135.439260314178
0.0;0.0;4.462475168;0.0;;;4496.702986348863
7.275957614183426E-12;1.9107570102394257E-16;3.1755268;0.0;;;4676.323744645885
0.0;0.0;4.860996064;0.0;;;4717.568868497767
7.275957614183426E-12;1.9111731699003355E-16;4.0261345440000005;0.0;;;4674.914152207765
0.0;0.0;4.867752576;0.0;;;4730.36434998484
0.0;0.0;5.885619392000001;0.0;;;4827.453921891452
0.0;0.0;4.295697456;0.0;;;4690.567467526912
7.275957614183426E-12;1.8419812420251192E-16;6.656682832;0.0;;;4920.899167432376
0.0;0.0;4.923629760000001;0.0;;;4965.47617953819
7.275957614183426E-12;1.7399240153421808E-16;5.6528236320000005;0.0;;;5323.370499801996
7.275957614183426E-12;1.7746708321852065E-16;3.3622458400000004;0.0;;;5180.645854348178
1.4551915228366852E-11;3.3918060831245037E-16;4.691879152;0.0;;;5512.984804244775
7.275957614183426E-12;1.7049311902206061E-16;4.590724304;0.0;;;5473.20458859085
7.275957614183426E-12;1.700016614624087E-16;6.020561056;0.0;;;5494.807003572803
7.275957614183426E-12;1.6428536145166657E-16;5.537944816;0.0;;;5755.91713213812
7.275957614183426E-12;1.5899185770138123E-16;6.627322832000001;0.0;;;6015.47817735691
0.0;0.0;6.474339088000001;0.0;;;6116.46722666799
7.275957614183426E-12;1.6379704066970197E-16;13.085465936;0.0;;;5779.1965818786
7.275957614183426E-12;1.6001741196433057E-16;5.655302000000001;0.0;;;5963.916676599763
0.0;0.0;6.765464544;0.0;;;6277.699774472589
7.275957614183426E-12;1.575401899954994E-16;6.798070912;0.0;;;6089.708521803741
1.4551915228366852E-11;3.1086775901197363E-16;4.860345392;0.0;;;6200.0472087893
7.275957614183426E-12;1.5772342291693145E-16;5.579878160000001;0.0;;;6080.249234415423
7.275957614183426E-12;1.5407746705794648E-16;4.829781280000001;0.0;;;6272.699517954044
7.275957614183426E-12;1.4982338257390832E-16;4.7792874240000005;0.0;;;6510.1971276903305
1.4551915228366852E-11;3.029000668524641E-16;6.788799552;0.0;;;6417.773224043314
1.4551915228366852E-11;3.1436943984059953E-16;5.812617504;0.0;;;6108.122339041289
0.0;0.0;6.086902048000001;0.0;;;6009.1833338948
7.275957614183426E-12;1.5426683542426886E-16;5.584040528;0.0;;;6262.479816610742
7.275957614183426E-12;1.5795641124117177E-16;4.636522960000001;0.0;;;6068.253048746247
7.275957614183426E-12;1.6323014977507869E-16;6.725695728000001;0.0;;;5806.271074862546
2.1827872842550278E-11;6.286183684343228E-16;5.082347136;0.0;;;4465.0363854104535
7.275957614183426E-12;2.1094578775890033E-16;4.930793104;0.0;;;4426.399904169753
7.275957614183426E-12;2.3147831212428347E-16;5.842495824;0.0;;;3916.575222550474
3.637978807091713E-12;1.1413687200685382E-16;6.742454096;0.0;;;3989.4734606364523
0.0;0.0;7.312039520000001;0.0;;;4159.308929576949
7.275957614183426E-12;2.241553696373597E-16;5.963201168;0.0;;;4088.3310174352246
3.637978807091713E-12;1.1502617687255166E-16;5.299232128000001;0.0;;;3948.7614491835257
0.0;0.0;5.765606512000001;0.0;;;3692.3639984952842
0.0;0.0;5.720265536;0.0;;;3740.9972023132027
7.275957614183426E-12;2.3357828771526244E-16;5.194562944;0.0;;;3869.890834239344
7.275957614183426E-12;2.2813420587055845E-16;6.025384768;0.0;;;3992.6980338056233
0.0;0.0;7.114809200000001;0.0;;;3885.6403406112545
0.0;0.0;4.645068608;0.0;;;3590.853082738442
1.0913936421275139E-11;3.538163310037879E-16;5.293083408;0.0;;;3819.7293487871634
0.0;0.0;2.9679513440000003;0.0;;;3913.0263269433894
7.275957614183426E-12;2.342433757956856E-16;6.1318060480000005;0.0;;;3855.2798464003417
0.0;0.0;5.208628816;0.0;;;3534.7062358109542
0.0;0.0;4.87521872;0.0;;;3830.1349979010038
1.0913936421275139E-11;3.4328862107998633E-16;7.009397376000001;0.0;;;3976.003838583584
3.637978807091713E-12;1.1370827815504632E-16;7.351578848000001;0.0;;;4009.7145258749874
3.637978807091713E-12;1.144544629211645E-16;5.013490320000001;0.0;;;3974.860191588821
3.637978807091713E-12;1.1348584369722144E-16;4.991785728;0.0;;;4020.3461398496793
1.0913936421275139E-11;3.3550723173406853E-16;5.35188192;0.0;;;4099.931598162433
7.275957614183426E-12;2.2835915082986563E-16;5.387049008;0.0;;;3987.501850073595
7.275957614183426E-12;2.2062152935883123E-16;4.937685024;0.0;;;4174.222496665681
0.0;0.0;7.509000752;0.0;;;4209.663596434795
0.0;0.0;6.3793206080000004;0.0;;;4496.7870032249875
0.0;0.0;7.628293856000001;0.0;;;4382.696173545471
0.0;0.0;5.816286432;0.0;;;4649.133989045644
0.0;0.0;5.3043951840000005;0.0;;;4616.849291131511
7.275957614183426E-12;2.0361785290828715E-16;5.822117088000001;0.0;;;4634.407952298336
0.0;0.0;6.104290048;0.0;;;4845.425830657794
7.275957614183426E-12;1.9043096653440888E-16;5.452325360000001;0.0;;;5057.3485267222
5.093170329928398E-11;1.316519174246639E-15;7.06574304;0.0;;;5140.547870917608
7.275957614183426E-12;1.9618632813712214E-16;6.139787200000001;0.0;;;4864.210231615556
7.275957614183426E-12;1.9165931427184092E-16;6.715977680000001;0.0;;;5015.107633964342
0.0;0.0;7.264787184;0.0;;;5272.77964966882
1.4551915228366852E-11;3.773844910522148E-16;5.55640552;0.0;;;5118.184803342754
0.0;0.0;7.344340464;0.0;;;5208.913827588323
0.0;0.0;8.516534208000001;0.0;;;5110.353135814145
0.0;0.0;6.7782057600000005;0.0;;;5268.711487985229
1.4551915228366852E-11;3.5889902756781477E-16;6.557142736;0.0;;;5464.603090646729
5.093170329928398E-11;1.2697847341952724E-15;6.631636624;0.0;;;5387.952445328033
1.4551915228366852E-11;3.7653296933674467E-16;5.650711456000001;0.0;;;5133.556967155201
0.0;0.0;5.6364796;0.0;;;5052.191582030793
7.275957614183426E-12;1.8477161662578212E-16;6.679526656;0.0;;;5260.299997183215
0.0;0.0;6.184065888;0.0;;;5100.55333437565
0.0;0.0;6.519518656000001;0.0;;;4886.409765361629
2.9103830456733704E-11;7.770253843429598E-16;4.823540896;0.0;;;4932.822448353923
0.0;0.0;6.745665088000001;0.0;;;4888.8769635908975
0.0;0.0;5.449365264000001;0.0;;;4315.179759653223
0.0;0.0;5.223319024;0.0;;;4396.952237052196
0.0;0.0;6.763621648;0.0;;;4586.6852495704825
0.0;0.0;6.706844176000001;0.0;;;4506.361498460768
7.275957614183426E-12;2.1327310129726004E-16;3.7164636640000004;0.0;;;4351.285294207603
0.0;0.0;4.312601904;0.0;;;4063.8693300069212
3.637978807091713E-12;1.1105251640084016E-16;4.241890496;0.0;;;4118.333311733305
7.275957614183426E-12;2.165418653951016E-16;4.78007984;0.0;;;4262.85452543985
0.0;0.0;5.051174544;0.0;;;4400.565091688932
7.275957614183426E-12;2.158811507414477E-16;5.985008816000001;0.0;;;4280.501277539605
1.4551915228366852E-11;4.579251355547468E-16;4.84129576;0.0;;;3950.8954897399467
1.4551915228366852E-11;4.373468617252853E-16;5.261791744;0.0;;;4206.549833464151
7.275957614183426E-12;2.1474181916572662E-16;6.504185808000001;0.0;;;4311.198716008926
7.275957614183426E-12;2.1715844416761416E-16;6.468105088000001;0.0;;;4246.483442166581
1.4551915228366852E-11;4.632588148572531E-16;4.693106960000001;0.0;;;3888.733878935012
0.0;0.0;2.534627232;0.0;;;4218.309549120312
7.275957614183426E-12;2.1216686162963236E-16;2.51573984;0.0;;;4381.844981835529
7.275957614183426E-12;2.1082955014255E-16;2.484303728;0.0;;;4419.216166103413
7.275957614183426E-12;2.1221307121487155E-16;2.5593067360000004;0.0;;;4380.562073262294
7.275957614183426E-12;2.1041712848295737E-16;3.315336432;0.0;;;4430.837131654696
0.0;0.0;5.287367168;0.0;;;4519.374678696905
7.275957614183426E-12;2.1170339495952325E-16;5.015570256;0.0;;;4394.743103006802
7.275957614183426E-12;2.04530129811183E-16;5.076973296;0.0;;;4603.629069811681
7.275957614183426E-12;2.0321083484783075E-16;4.895936576;0.0;;;4643.815289964204
0.0;0.0;5.184265856000001;0.0;;;4968.988948766865
0.0;0.0;3.607066672;0.0;;;4839.132243452839
0.0;0.0;7.277063568000001;0.0;;;5141.425449521998
0.0;0.0;6.27601832;0.0;;;5105.3337381288475
7.275957614183426E-12;1.8876664485618893E-16;4.305887520000001;0.0;;;5124.933132302739
0.0;0.0;5.294696992;0.0;;;5361.714996224953
7.275957614183426E-12;1.7654156603282163E-16;6.885918912;0.0;;;5597.388076494381
7.275957614183426E-12;1.74356664298272E-16;5.317336736000001;0.0;;;5689.0596953647355
7.275957614183426E-12;1.8187715073796358E-16;5.739277824;0.0;;;5382.78031724307
7.275957614183426E-12;1.7768032217927312E-16;3.242079728;0.0;;;5550.503181879241
7.275957614183426E-12;1.7098320807596345E-16;5.83387336;0.0;;;5835.52684676744
7.275957614183426E-12;1.7492966154130676E-16;5.642477536;0.0;;;5664.7970001544145
0.0;0.0;4.921069984000001;0.0;;;5764.894427632898
7.275957614183426E-12;1.7513311992772585E-16;5.067096736;0.0;;;5656.220060127837
0.0;0.0;5.033729056;0.0;;;5831.025003468832
7.275957614183426E-12;1.6636106385579728E-16;4.720718176;0.0;;;6046.717838042714
7.275957614183426E-12;1.6816726633930658E-16;4.662328912;0.0;;;5962.754310130132
0.0;0.0;4.730820992;0.0;;;5681.4932056531425
7.275957614183426E-12;1.7667980729907427E-16;4.391171728000001;0.0;;;5591.664172651281
8.731149137020111E-11;2.0555398829919028E-15;5.35519224;0.0;;;5821.729172995695
0.0;0.0;4.696230224000001;0.0;;;5645.342859678334
7.275957614183426E-12;1.8124768576096213E-16;5.724015952;0.0;;;5407.473694736314
0.0;0.0;5.71500768;0.0;;;4533.7240255153965
0.0;0.0;4.965101440000001;0.0;;;4491.66129491041
0.0;0.0;2.804598512;0.0;;;3939.513503767946
1.4551915228366852E-11;4.3679238474054193E-16;6.03031424;0.0;;;4019.0732515561235
1.4551915228366852E-11;4.233089296427216E-16;6.586029328;0.0;;;4202.15902269983
1.4551915228366852E-11;4.289120453906543E-16;5.586513552;0.0;;;4124.660354572605
0.0;0.0;4.785617936;0.0;;;3974.642037405107
3.637978807091713E-12;1.1572800910314125E-16;4.790080256;0.0;;;3697.225321098496
3.637978807091713E-12;1.1460619691018208E-16;5.704222144;0.0;;;3749.6273841933757
3.637978807091713E-12;1.1173560253150917E-16;7.23364616;0.0;;;3888.563019073268
0.0;0.0;6.807570736000001;0.0;;;4022.588343832118
2.000888343900442E-10;6.126707057382185E-15;6.3109162560000005;0.0;;;3905.762232867335
3.637978807091713E-12;1.1814468495359842E-16;6.602026832000001;0.0;;;3588.348918298009
7.275957614183426E-12;2.256709806231617E-16;2.662378704;0.0;;;3834.460925544487
0.0;0.0;3.6251537600000003;0.0;;;3935.6401855275194
3.637978807091713E-12;1.120537571777866E-16;2.4718307360000003;0.0;;;3872.7664302765047
7.275957614183426E-12;2.390415484240316E-16;3.361685232;0.0;;;3527.504495424589
0.0;0.0;6.08490296;0.0;;;3845.672966672772
7.275957614183426E-12;2.189562011817667E-16;3.74196928;0.0;;;4004.374792453004
1.4551915228366852E-11;4.3515219145700704E-16;3.1293401760000004;0.0;;;4040.734727842901
1.4551915228366852E-11;4.3800777894736935E-16;4.304078416;0.0;;;4003.126598858189
1.4551915228366852E-11;4.343009531524685E-16;3.6245834720000003;0.0;;;4052.0412348453015
7.275957614183426E-12;2.1399307875724624E-16;3.962983808;0.0;;;4137.321403503011
7.275957614183426E-12;2.1847790357870313E-16;4.28917512;0.0;;;4016.92389576953
7.275957614183426E-12;2.1107509395293668E-16;7.151182432000001;0.0;;;4218.445350838301
7.275957614183426E-12;2.0971358155205273E-16;6.935078096000001;0.0;;;4257.184630883577
0.0;0.0;5.415232688000001;0.0;;;4568.193031350244
