topLevelViolationActualCentral;relativeTLViolationCentral;runtimePerStepCentral;unsolvedCentralAllocations;Total runtime central;time stamps;Top level costs central
3.92901711165905E-10;5.136830047529242E-15;5.0465149600000005;0.0;71.403961296;1.424260964691E12;9493.355058487929
4.3655745685100555E-11;5.745895631254886E-16;18.695711088;0.0;21.969191776000002;1.424261036155E12;9407.64397544696
0.0;0.0;2.7871223680000003;0.0;33.777509376000005;1.424261058197E12;8293.352664622942
1.4551915228366852E-11;2.0726290612374494E-16;2.533449504;0.0;40.757956;1.424261092034E12;8453.04237436319
1.4551915228366852E-11;2.0086485471874502E-16;2.6744541760000002;0.0;154.647089104;1.424261132843E12;8821.636672302595
1.4551915228366852E-11;2.2130748279332937E-16;10.566628736;0.0;102.782659312;1.424261287549E12;9019.208585381743
1.4551915228366852E-11;2.227927959628842E-16;7.325304432;0.0;22.502327776;1.424261390384E12;8944.519650047616
2.1827872842550278E-11;3.667176835777506E-16;11.460250704;0.0;47.236527424;1.424261412941E12;7960.431229756982
0.0;0.0;11.428841344;0.0;49.526615056000004;1.424261460241E12;8102.167202515282
7.275957614183426E-12;1.168257625809198E-16;11.259308432000001;0.0;62.137802512;1.424261509833E12;8428.52931029122
3.7834979593753815E-10;4.926823340427706E-15;6.5604733600000005;0.0;61.513389568;1.424261572046E12;8971.076481630887
1.4551915228366852E-11;1.9076499590082776E-16;4.717951328000001;0.0;48.185549968000004;1.424261633635E12;8884.042497779345
1.4551915228366852E-11;2.0933321210593E-16;5.930188592;0.0;66.64111576;1.424261681885E12;7750.00659381224
1.4551915228366852E-11;2.0643521902237615E-16;8.828845376;0.0;59.349903856000005;1.424261748607E12;7912.58932224756
1.4551915228366852E-11;2.0006271770083323E-16;10.054425712;0.0;52.972281168;1.424261808011E12;8286.441139777968
2.6193447411060333E-10;3.550684468259888E-15;3.302234336;0.0;61.721518800000005;1.424261861036E12;9584.63488827339
1.4551915228366852E-11;1.985841675245437E-16;3.3210833600000003;0.0;26.52727592;1.424261922827E12;9501.159345191136
0.0;0.0;3.319735488;0.0;32.5017292;1.424261949425E12;8414.07982077726
0.0;0.0;3.0594883520000002;0.0;31.764318272;1.424261981998E12;8569.498354431777
0.0;0.0;2.98118592;0.0;51.404859824000006;1.424262013822E12;8928.086851607351
2.1100277081131935E-10;3.62284001859769E-15;4.614509744;0.0;;;8099.1638076531135
7.275957614183426E-12;1.25763960009516E-16;4.205223488000001;0.0;;;8031.174278251572
7.275957614183426E-12;1.3800526444033784E-16;4.631505616;0.0;;;7136.330040515799
0.0;0.0;4.031280496;0.0;;;7264.287930354513
1.4551915228366852E-11;2.637871744172845E-16;10.767479392;0.0;;;7560.473883011103
3.346940502524376E-10;3.952862890192899E-15;6.546723760000001;0.0;;;10960.31816454634
1.4551915228366852E-11;1.7301707271481598E-16;9.492753664;0.0;;;10863.283031046643
1.4551915228366852E-11;1.898577850397978E-16;9.009027152;0.0;;;9590.355527986823
0.0;0.0;9.258096528000001;0.0;;;9772.411805171128
4.3655745685100555E-11;5.443493280500131E-16;7.4932442560000005;0.0;;;10193.141700076341
0.0;0.0;14.922570928;0.0;;;8891.902612168735
0.0;0.0;10.47373016;0.0;;;8816.689507096722
1.7462298274040222E-10;3.0084786045784905E-15;10.439553072;0.0;;;7833.9539486300755
0.0;0.0;9.883889264;0.0;;;7975.144565159792
0.0;0.0;9.989622448;0.0;;;8300.741402457854
2.3283064365386963E-10;3.0565267871031507E-15;7.730250272;0.0;;;9545.989994312366
2.9103830456733704E-11;3.846300971438483E-16;8.83611424;0.0;;;9457.57549482408
1.4551915228366852E-11;2.1103414000742658E-16;9.873316704;0.0;;;8296.403827105323
1.4551915228366852E-11;2.0811259940757522E-16;9.409778208;0.0;;;8462.88892767266
1.4551915228366852E-11;2.0168831860468279E-16;10.917727712000001;0.0;;;8847.224496635366
4.147295840084553E-10;6.427024428253445E-15;8.30243192;0.0;;;8225.755249997263
2.1827872842550278E-11;3.405347176307965E-16;16.611517328;0.0;;;8153.020792821068
1.4551915228366852E-11;2.491205682025327E-16;12.989077600000002;0.0;;;7200.294857232458
1.1641532182693481E-10;1.9653740959477074E-15;9.068375808;0.0;;;7337.46388655646
7.275957614183426E-12;1.1904402892979217E-16;9.261251968;0.0;;;7653.282804769964
5.238689482212067E-10;6.753350207584801E-15;4.435018896;0.0;;;9802.346463801823
4.3655745685100555E-11;5.665562968081022E-16;3.694311072;0.0;;;9715.46451452851
2.9103830456733704E-11;4.1446824452306335E-16;6.479821184;0.0;;;8576.097336208722
1.4551915228366852E-11;2.0436518881788967E-16;12.631582848;0.0;;;8739.68615927585
1.4551915228366852E-11;1.9805658778476006E-16;9.000256176;0.0;;;9116.474009356587
2.6193447411060333E-10;3.705221608672505E-15;23.965300912;0.0;;;9866.053248833898
0.0;0.0;9.466944672;0.0;;;9783.24623510004
7.275957614183426E-12;1.1369887894966337E-16;9.72881312;0.0;;;8691.220020180475
7.275957614183426E-12;1.1212484031009077E-16;7.5762429120000006;0.0;;;8847.912944833628
1.4551915228366852E-11;2.1732726015733712E-16;18.747996432;0.0;;;9210.018421884268
4.3655745685100555E-11;5.722969127299162E-16;10.102958272;0.0;;;9324.028923107131
1.4551915228366852E-11;1.9204596805084318E-16;15.052955056;0.0;;;9235.645593096002
0.0;0.0;3.0686053920000003;0.0;;;8099.838569252336
1.4551915228366852E-11;2.078214155036258E-16;5.924224848000001;0.0;;;8259.543704028114
1.4551915228366852E-11;2.0140612333065622E-16;6.248352416;0.0;;;8633.670138982392
1.4551915228366852E-11;1.9663550465766974E-16;8.950794512;0.0;;;9141.699565605184
3.7834979593753815E-10;5.146836004868801E-15;8.569875008;0.0;;;9058.382798931918
1.4551915228366852E-11;2.1722331265031104E-16;7.8596292320000005;0.0;;;7971.077266149855
2.9103830456733704E-11;4.284321792318148E-16;10.374743664;0.0;;;8127.088774681698
1.4551915228366852E-11;2.076033986229147E-16;6.456417904;0.0;;;8486.710904264182
0.0;0.0;9.0895016;0.0;;;9857.250725282222
0.0;0.0;8.73823288;0.0;;;9768.96384810424
2.9103830456733704E-11;4.260971636294526E-16;8.266867232000001;0.0;;;8613.667614519169
2.9103830456733704E-11;4.2019830687191E-16;11.854102576;0.0;;;8778.66968552229
1.4551915228366852E-11;2.036135491919725E-16;10.178925600000001;0.0;;;9160.72029287249
1.4551915228366852E-11;2.1197088113397393E-16;391.97678177600005;0.0;;;8212.049930472953
0.0;0.0;4.232139792;0.0;;;8132.803836161517
0.0;0.0;7.923974128;0.0;;;7104.492835130919
2.1827872842550278E-11;3.463838334567173E-16;3.508471264;0.0;;;7251.325077001239
0.0;0.0;4.874613824;0.0;;;7591.25523867861
2.3283064365386963E-10;3.511647535815126E-15;4.35640784;0.0;;;8538.723295963357
2.9103830456733704E-11;4.41902010647167E-16;14.035250208;0.0;;;8463.69435294656
2.1827872842550278E-11;3.636860900607239E-16;13.234622352;0.0;;;7479.535808865725
2.1827872842550278E-11;3.5865124747357867E-16;7.165871616;0.0;;;7620.523497333071
7.275957614183426E-12;1.1585998361638217E-16;6.98169016;0.0;;;7945.804257750392
1.4551915228366852E-11;1.8636471561879847E-16;9.159650896;0.0;;;9470.005067506829
4.3655745685100555E-11;5.628465274396121E-16;12.398373184;0.0;;;9382.595154403813
4.3655745685100555E-11;6.176315049713653E-16;8.773324688;0.0;;;8236.03496766794
5.820766091346741E-11;8.121080817884068E-16;8.46256784;0.0;;;8400.713329233033
2.9103830456733704E-11;3.9351945534694264E-16;7.639598416;0.0;;;8780.606796443966
1.4551915228366852E-10;1.9428875452885728E-15;14.370327712000002;0.0;;;9700.196696523457
0.0;0.0;9.51911048;0.0;;;9614.608972368884
0.0;0.0;9.12559504;0.0;;;8489.76794368748
7.275957614183426E-11;1.0582976183414658E-15;9.452241392000001;0.0;;;8651.38780486691
1.4551915228366852E-11;2.0512575195912636E-16;9.570210096;0.0;;;9024.32774828895
4.6566128730773926E-10;6.824494012983921E-15;13.117573168000002;0.0;;;9170.260959286043
0.0;0.0;14.597250864000001;0.0;;;9093.155297662031
3.637978807091713E-11;5.889860146418342E-16;6.264790112;0.0;;;8086.154176948598
2.1827872842550278E-11;3.484992822119797E-16;4.429880144;0.0;;;8229.548880922743
2.1827872842550278E-11;3.377413691817348E-16;7.406128848000001;0.0;;;8562.070472185927
2.9103830456733704E-11;4.4194766275031576E-16;8.736210448000001;0.0;;;8326.184004386583
1.4551915228366852E-11;2.224569052311946E-16;4.884136160000001;0.0;;;8249.298395870172
7.275957614183426E-12;1.2205493543880514E-16;8.210731344000001;0.0;;;7236.831742764102
7.275957614183426E-12;1.2036521619013351E-16;3.5878618560000004;0.0;;;7382.33828835273
2.1827872842550278E-11;3.4994889510769233E-16;3.605581168;0.0;;;7718.148415161333
5.820766091346741E-10;8.054840484507496E-15;11.734055712;0.0;;;10508.10500054323
4.3655745685100555E-11;6.081675628216886E-16;23.354531904;0.0;;;10421.985640050296
2.9103830456733704E-11;4.449092588597004E-16;16.969529728;0.0;;;9298.475581493944
2.9103830456733704E-11;4.3874996888909815E-16;9.256762416;0.0;;;9460.191069546421
4.3655745685100555E-11;6.378091266491015E-16;10.331140528;0.0;;;9832.640475858338
1.0186340659856796E-10;1.4515971301125169E-15;29.19484336;0.0;;;9879.372030934575
4.3655745685100555E-11;6.262883900255148E-16;11.102206768;0.0;;;9796.799861825055
3.637978807091713E-11;5.727070968209567E-16;11.211801472000001;0.0;;;8711.366817616601
1.4551915228366852E-11;2.259114333186608E-16;11.369747936000001;0.0;;;8867.333271439516
1.4551915228366852E-11;2.1893771578962103E-16;8.722860352000001;0.0;;;9227.00545310975
2.1827872842550278E-10;3.0637715702691536E-15;13.583571584000001;0.0;;;8894.153157391342
0.0;0.0;13.063607616;0.0;;;8813.502185051802
4.3655745685100555E-11;6.769099108727861E-16;18.578343696;0.0;;;7754.227977780356
7.275957614183426E-12;1.1125647025127868E-16;13.647500608000001;0.0;;;7906.238897242727
1.4551915228366852E-11;2.156441319116116E-16;12.699228960000001;0.0;;;8256.68358307605
2.0372681319713593E-10;2.989617140241155E-15;15.352649088000001;0.0;;;8970.029833757606
0.0;0.0;4.490198928;0.0;;;8892.206058962021
1.4551915228366852E-11;2.3590222347503843E-16;10.456049008;0.0;;;7873.401382053092
1.4551915228366852E-11;2.3263641102264666E-16;7.39715536;0.0;;;8019.749916550097
2.9103830456733704E-11;4.509101968971757E-16;9.595893056000001;0.0;;;8356.926734807086
