Abstraction Error;Top Level Violation Abstracted;topLevelViolationActualRegioCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepRegioCentral;runtimePerAvppPerStep;Total runtime regio central;time stamps;Top level costs regio central;Root costs regio central;Longest serial path
9.094947017729282E-13;0.0;3.637978807091713E-12;2.1130490927453088E-16;0.0;1.225972109659674E-16;2.60192E-4;2.6749619520000003;0.144332032;108.177718592;1.424032562844E12;2068.8071096940384;2068.8071096940375;1.128890752E9
9.094947017729282E-13;0.0;0.0;0.0;0.0;1.715088032187928E-16;2.54224E-4;2.403613488;0.9845587200000001;103.98128496000001;1.424032671389E12;2048.75498589792;2048.754985897919;1.096173568E9
0.0;1.8189894035458565E-12;1.8189894035458565E-12;1.1671430476590626E-16;1.1671430476590626E-16;0.0;2.8936E-4;2.62189352;0.9518415360000001;107.93769715200001;1.424032775535E12;1785.4628409493946;1786.068188453393;6.7134336E8
9.094947017729282E-13;1.8189894035458565E-12;1.8189894035458565E-12;1.1509852077559272E-16;1.1509852077559272E-16;1.225972109659674E-16;2.7136E-4;2.7524308960000003;0.5270113280000001;108.75659972800001;1.424032883643E12;1823.7411270994126;1824.0764207659354;1.44332032E8
0.0;0.0;1.8189894035458565E-12;1.1154551519201336E-16;0.0;0.0;2.85104E-4;2.6898212480000003;0.108873936;108.997763856;1.424032992562E12;1909.6217129335078;1910.0098294326658;1.01903696E9
0.0;0.0;0.0;0.0;0.0;0.0;2.70528E-4;2.2804672160000004;0.910163024;105.93692907200001;1.424033101715E12;1865.212034883953;1866.1015259785574;8.88913312E8
9.094947017729282E-13;0.0;3.637978807091713E-12;2.0259069123163044E-16;0.0;1.2153192314463477E-16;2.54704E-4;2.3752999200000002;0.7800393760000001;105.280533648;1.424033207826E12;1846.2014975147924;1846.9282912513002;6.48443008E8
4.547473508864641E-13;1.8189894035458565E-12;3.637978807091713E-12;2.2230996830486977E-16;1.1115498415243488E-16;1.3495863504803024E-16;2.40976E-4;2.090090576;0.539569072;106.768390608;1.424033313267E12;1598.5784826016452;1598.763564471398;1.08873936E8
9.094947017729282E-13;0.0;3.637978807091713E-12;2.1923232595079348E-16;0.0;1.9220676654534382E-16;2.4036800000000003E-4;2.0052775840000003;0.10998806400000001;110.744103408;1.424033420205E12;1632.7171159671364;1633.7860283864359;9.94444784E8
9.094947017729282E-13;0.0;3.637978807091713E-12;2.1246478738508992E-16;0.0;1.2940816713074338E-16;2.42832E-4;2.100562992;0.8844567200000001;107.26991864;1.424033531121E12;1715.7899020922919;1715.789902092291;1.047921632E9
0.0;3.637978807091713E-12;3.637978807091713E-12;1.5967594716731374E-16;1.5967594716731374E-16;0.0;2.54384E-4;2.6226166880000004;0.937933568;104.18921132800001;1.424033638558E12;3058.8139372938745;3058.8139372938726;7.3429576E8
