Abstraction Error;Top Level Violation Abstracted;topLevelViolationActualRegioCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepRegioCentral;runtimePerAvppPerStep;Total runtime regio central;time stamps;Top level costs regio central;Root costs regio central;Longest serial path
0.0;0.0;3.637978807091713E-12;2.1130490927453088E-16;0.0;0.0;2.45376E-4;2.786360864;0.116200176;67.26546329600001;1.423867557106E12;2070.121400924804;2070.1214009248033;9.30379728E8
9.094947017729282E-13;0.0;0.0;0.0;0.0;1.716918316336206E-16;2.5256000000000003E-4;2.76863736;0.814179552;65.270639472;1.42386762467E12;2050.069277128686;2050.069277128685;1.353917536E9
0.0;0.0;0.0;0.0;0.0;0.0;2.61616E-4;2.4494456000000002;1.23771736;67.435019968;1.423867690065E12;1788.4541690793799;1787.6093015041015;6.68917568E8
9.094947017729282E-13;1.8189894035458565E-12;1.8189894035458565E-12;1.1509852077559272E-16;1.1509852077559272E-16;1.1833581058479736E-16;2.5792E-4;2.934411104;0.552717392;68.05914080000001;1.423867757628E12;1824.7474712618337;1824.8157351798925;1.16200176E8
0.0;1.8189894035458565E-12;1.8189894035458565E-12;1.1154551519201336E-16;1.1154551519201336E-16;0.0;2.5104E-4;2.750555808;0.09691801600000001;67.158162256;1.423867825816E12;1910.5753910261396;1911.6299572592757;9.72664624E8
0.0;3.637978807091713E-12;0.0;0.0;2.0124006126627928E-16;0.0;2.4744000000000003E-4;2.416879616;0.875746608;66.67980662400001;1.423867893099E12;1865.273443929183;1866.2939443929147;1.239660208E9
9.094947017729282E-13;0.0;0.0;0.0;0.0;1.3751892735583975E-16;2.49168E-4;2.536061632;1.142742192;68.167195072;1.423867959898E12;1846.6585787833471;1847.3992963739388;6.83376224E8
0.0;1.8189894035458565E-12;7.275957614183426E-12;4.446199366097395E-16;1.1115498415243488E-16;0.0;2.53312E-4;2.371663696;0.586458208;67.713179632;1.423868028195E12;1599.2442096175557;1599.3301774357353;9.6918016E7
0.0;0.0;3.637978807091713E-12;2.1923232595079348E-16;0.0;0.0;2.48672E-4;2.132708928;0.100401824;73.384242704;1.423868096039E12;1633.9675997008235;1633.9759997008227;9.66226896E8
9.094947017729282E-13;0.0;0.0;0.0;0.0;1.3311530630837698E-16;2.37984E-4;2.15571664;0.865825072;66.75073776;1.423868169546E12;1716.6882026649437;1716.6966026649425;1.00723184E9
0.0;0.0;7.275957614183426E-12;3.193518943346275E-16;0.0;0.0;2.77696E-4;2.9837081920000004;0.906830016;63.99658916800001;1.423868236439E12;3061.2315100882524;3061.2538550562585;6.08119504E8
0.0;3.637978807091713E-12;0.0;0.0;1.6074761807435366E-16;0.0;2.7582400000000003E-4;2.369319808;0.5077176800000001;65.104955168;1.42386830054E12;3032.397796130444;3034.64132776524;1.00401824E8
9.094947017729282E-13;0.0;7.275957614183426E-12;3.5278815291996445E-16;0.0;1.2398077296802026E-16;2.48096E-4;2.74215504;0.12063262400000001;67.320353072;1.423868365779E12;2679.9728208083634;2679.9728208083616;1.152881632E9
0.0;0.0;3.637978807091713E-12;1.739520902329997E-16;0.0;0.0;1.9216E-4;2.666566784;1.032249008;65.63606200000001;1.423868433233E12;2729.885635961416;2730.679873700167;1.220398304E9
0.0;0.0;3.637978807091713E-12;1.6858231880841152E-16;0.0;0.0;2.4091200000000003E-4;2.733578208;1.09976568;68.588195728;1.423868499003E12;2846.572238548322;2847.3729276757344;7.37040832E8
9.094947017729282E-13;0.0;0.0;0.0;0.0;1.220566352035954E-16;2.3344000000000001E-4;2.836658688;0.6164082080000001;68.44541712;1.423868567721E12;2267.3748733208326;2267.458876551561;1.20632624E8
0.0;0.0;0.0;0.0;0.0;0.0;2.38096E-4;2.778912608;0.11153025600000001;66.08605270400001;1.423868636283E12;2245.970938013435;2246.3075920798124;1.03539264E9
0.0;0.0;0.0;0.0;0.0;0.0;2.32992E-4;2.550088352;0.9238623840000001;66.37344312;1.423868702505E12;1967.7077833581784;1967.7878714505896;1.185179504E9
0.0;0.0;0.0;0.0;0.0;0.0;2.2552000000000002E-4;3.015059232;1.0736492480000002;65.8057252;1.423868769023E12;2007.7342439498511;2007.7662841712865;6.86935984E8
0.0;0.0;0.0;0.0;0.0;0.0;2.31408E-4;2.9035411360000003;0.575405728;80.506068384;1.423868834964E12;2100.0275222534992;2100.035311256162;1.11530256E8
0.0;0.0;0.0;0.0;0.0;0.0;3.09552E-4;2.841118912;0.10595059200000001;64.785330736;1.423868915601E12;2394.8961723156317;2394.8961801246783;8.14805792E8
0.0;0.0;0.0;0.0;0.0;0.0;3.02688E-4;2.36402496;0.7088552;66.720140912;1.423868980528E12;2375.257892347044;2375.257892347043;9.74059312E8
0.0;1.8189894035458565E-12;3.637978807091713E-12;2.353461757165579E-16;1.1767308785827894E-16;0.0;2.8688E-4;2.418339248;0.8681087200000001;67.85362209600001;1.42386904739E12;2118.2031470487473;2118.2034947551338;7.76543936E8
1.8189894035458565E-12;0.0;0.0;0.0;0.0;1.9412190865666665E-16;2.92128E-4;2.565887936;0.670593344;65.48458704000001;1.423869115374E12;2154.1721009042776;2155.3439363301914;1.05950592E8
9.094947017729282E-13;0.0;1.8189894035458565E-12;1.12461837781696E-16;0.0;1.3480170237262098E-16;2.904E-4;2.5970650720000004;0.116273888;68.407164608;1.423869180988E12;2240.3932834331213;2240.4068663936746;9.23788512E8
0.0;0.0;0.0;0.0;0.0;0.0;2.48464E-4;2.296908352;0.8075146240000001;66.84362419200001;1.423869249519E12;2335.4138274832535;2335.4138274832526;1.055336736E9
0.0;0.0;0.0;0.0;0.0;0.0;2.51392E-4;2.121452288;0.9390628480000001;66.25546992000001;1.423869316505E12;2314.2961453387766;2314.296145338775;7.24418672E8
0.0;0.0;3.637978807091713E-12;2.095971386369733E-16;0.0;0.0;2.60752E-4;2.470032304;0.608144784;68.04356838400001;1.423869382883E12;2035.467943158362;2035.4679431583609;1.16273888E8
0.0;0.0;0.0;0.0;0.0;0.0;2.6856E-4;2.416972272;0.103509008;68.480517584;1.42386945104E12;2075.5730915714444;2075.7573396010325;8.06748192E8
0.0;3.637978807091713E-12;3.637978807091713E-12;2.0031495589958332E-16;2.0031495589958332E-16;0.0;2.528E-4;2.424015952;0.7032391840000001;70.90727128;1.423869519648E12;2168.207521163698;2168.207521163697;1.14623088E9
0.0;3.637978807091713E-12;3.637978807091713E-12;1.8224486423270795E-16;1.8224486423270795E-16;0.0;3.1376E-4;2.334527344;1.042721872;70.42375288000001;1.423869590675E12;2334.1995230031384;2334.199523003136;5.58283248E8
0.0;0.0;0.0;0.0;0.0;0.0;2.7528000000000003E-4;2.706273824;0.45477424000000005;67.746132512;1.423869661234E12;2311.5887640697388;2311.5887640697374;1.03509008E8
0.0;0.0;3.637978807091713E-12;2.0132596728684978E-16;0.0;0.0;2.6768E-4;2.8977708480000004;0.123324;64.868642992;1.42386972911E12;2012.7690499168143;2012.941975375007;7.38751296E8
1.8189894035458565E-12;3.637978807091713E-12;3.637978807091713E-12;1.9853882585265343E-16;1.9853882585265343E-16;1.7520000036357617E-16;2.77392E-4;2.7416517440000003;0.615427296;69.29827152;1.423869794099E12;2055.233876707288;2055.9336944467736;9.5696304E8
4.547473508864641E-13;0.0;0.0;0.0;0.0;1.312030831183343E-16;2.71296E-4;2.852349472;0.83363904;65.987123632;1.423869863519E12;2155.020553222888;2155.0205532228865;6.16760256E8
0.0;0.0;0.0;0.0;0.0;0.0;2.2864E-4;2.745649552;0.493436256;65.499540752;1.423869929632E12;2375.500051184808;2375.5503469771347;1.23324E8
0.0;0.0;0.0;0.0;0.0;0.0;2.40432E-4;2.760750528;0.100202144;69.61373856;1.423869995277E12;2355.1400356870913;2355.157974019197;7.3706184E8
0.0;0.0;0.0;0.0;0.0;0.0;2.67904E-4;2.3927509600000003;0.636859696;64.95737336;1.423870065024E12;2087.7714454408683;2087.7714454408674;8.8058504E8
0.0;3.637978807091713E-12;1.8189894035458565E-12;1.1362032127509076E-16;2.272406425501815E-16;0.0;2.5985600000000004E-4;2.493988464;0.7803828960000001;64.450998256;1.423870130123E12;2125.84790228887;2125.8479022888687;6.73355424E8
0.0;0.0;0.0;0.0;0.0;0.0;2.7441600000000004E-4;3.0156567360000004;0.57315328;66.525636288;1.423870194707E12;2214.123158804826;2214.123158804824;1.00202144E8
4.547473508864641E-13;0.0;0.0;0.0;0.0;1.312030831183343E-16;2.83056E-4;3.0895208160000003;0.12089480000000001;65.11235742400001;1.423870261366E12;2351.4019800572164;2351.4019800571978;9.4061776E8
0.0;0.0;0.0;0.0;0.0;0.0;2.75856E-4;3.460670416;0.81972296;65.558667184;1.423870326605E12;2329.1342702798493;2329.1342702798306;1.179106352E9
1.8189894035458565E-12;3.637978807091713E-12;3.637978807091713E-12;2.0141947356195395E-16;2.0141947356195395E-16;1.9494929606237838E-16;2.86624E-4;3.241887584;1.0582115520000002;68.940809296;1.423870392281E12;2034.9139373141459;2034.9428445834083;1.041871808E9
4.547473508864641E-13;0.0;0.0;0.0;0.0;1.312030831183343E-16;2.8528E-4;4.27963544;0.920977008;66.406914688;1.423870461358E12;2077.333697375008;2077.351652330561;1.208948E8
0.0;0.0;0.0;0.0;0.0;0.0;2.8168000000000003E-4;4.248309312;0.110701088;66.4551612;1.423870527892E12;2175.002265578565;2174.949151828766;9.45789168E8
9.094947017729282E-13;0.0;3.637978807091713E-12;2.0722474417815714E-16;0.0;1.5509441310786566E-16;2.54048E-4;2.195245856;0.83508808;65.275670992;1.423870594473E12;2612.499876851658;2612.593355251658;9.35446016E8
0.0;0.0;0.0;0.0;0.0;0.0;2.764E-4;2.392955504;0.8247449280000001;69.080175264;1.423870659884E12;2591.9827255717105;2591.98766057171;6.44102992E8
0.0;0.0;1.8189894035458565E-12;1.144606248386942E-16;0.0;0.0;2.7496000000000004E-4;2.430839744;0.533401904;70.82967499200001;1.423870729085E12;2317.8424903336263;2318.471339990165;1.10701088E8
