Abstraction Error;Top Level Violation Abstracted;topLevelViolationActualRegioCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepRegioCentral;runtimePerAvppPerStep;Total runtime regio central;time stamps;Top level costs regio central;Root costs regio central;Longest serial path
0.0;0.0;0.0;0.0;0.0;0.0;2.56448E-4;2.740692032;0.10475616;39.616757296;1.423750995733E12;2069.1838517761853;109766.2861077191;9.49322576E8
9.094947017729282E-13;0.0;0.0;0.0;0.0;1.6928467964399006E-16;2.47648E-4;3.064203408;0.844566416;37.288218048000005;1.423751035513E12;2049.1317279800664;109746.23398392298;1.159979856E9
0.0;1.8189894035458565E-12;0.0;0.0;1.1671430476590626E-16;0.0;2.5745600000000004E-4;2.62922592;1.055223696;42.012136224;1.423751072891E12;1787.4508018932559;109485.80771459565;7.70863728E8
0.0;0.0;0.0;0.0;0.0;0.0;2.54224E-4;2.799889136;0.666107568;41.695020928000005;1.423751114995E12;1826.545733554732;109522.7830629554;1.0475616E8
9.094947017729282E-13;0.0;1.8189894035458565E-12;1.1154551519201336E-16;0.0;1.7298025000358023E-16;2.6521600000000003E-4;2.517081248;0.122636512;41.49518632;1.423751156772E12;1910.2807873422237;109607.85705991309;1.195869472E9
0.0;0.0;3.637978807091713E-12;2.0124006126627928E-16;0.0;0.0;2.63632E-4;2.236692048;1.0732329600000001;38.301529456000004;1.423751198346E12;1865.4169567336585;86317.5393786942;1.160431616E9
0.0;0.0;3.637978807091713E-12;2.0259069123163044E-16;0.0;0.0;2.0752000000000002E-4;2.152891184;1.037795104;38.605040816;1.423751236737E12;1846.5554249239883;86298.81211551896;8.7410616E8
0.0;0.0;1.8189894035458565E-12;1.1115498415243488E-16;0.0;0.0;1.77392E-4;2.2325051520000003;0.751469648;39.048661056;1.423751275425E12;1603.5720763998834;86052.37843188735;1.22636512E8
0.0;0.0;3.637978807091713E-12;2.1923232595079348E-16;0.0;0.0;2.4388800000000002E-4;2.306927088;0.11471336;41.47719832;1.42375131455E12;1635.3344453468621;86087.65695141596;8.5970832E8
0.0;0.0;0.0;0.0;0.0;0.0;2.4580800000000003E-4;2.230095104;0.7449949600000001;60.032908448;1.423751356109E12;1717.6304084129938;86169.13517287222;9.24941616E8
0.0;3.637978807091713E-12;7.275957614183426E-12;3.193518943346275E-16;1.5967594716731374E-16;0.0;2.59152E-4;3.4294849600000004;0.810228256;39.468302128000005;1.423751416215E12;3059.808848006532;178779.08708016993;1.002390176E9
0.0;3.637978807091713E-12;3.637978807091713E-12;1.6074761807435366E-16;1.6074761807435366E-16;0.0;2.66448E-4;2.90829232;0.887676816;39.003555248000005;1.423751455761E12;3033.2123960436843;178752.49062820707;1.1471336E8
0.0;0.0;7.275957614183426E-12;3.5278815291996445E-16;0.0;0.0;2.52416E-4;3.4323383040000004;0.117295648;41.771747232;1.423751494855E12;2681.204601859502;178403.0423007195;1.209584848E9
9.094947017729282E-13;3.637978807091713E-12;7.275957614183426E-12;3.479041804659994E-16;1.739520902329997E-16;2.037855676798628E-16;2.3817600000000002E-4;3.136075872;1.0922892;39.828847904;1.42375153671E12;2732.685236323783;178453.32461375976;9.47956544E8
0.0;0.0;7.275957614183426E-12;3.3716463761682305E-16;0.0;0.0;1.92096E-4;3.4945382240000002;0.830660896;41.887750000000004;1.423751576615E12;2848.4405919216856;178569.1087305243;8.09992032E8
0.0;0.0;0.0;0.0;0.0;0.0;2.51072E-4;3.0920029760000003;0.692696384;41.407888624;1.423751618579E12;2267.3173314925175;118340.35478924225;1.17295648E8
0.0;0.0;0.0;0.0;0.0;0.0;2.4992E-4;3.3263477920000004;0.102671328;39.866446304;1.423751660059E12;2246.229119624924;118319.13711220362;8.72111152E8
1.8189894035458565E-12;0.0;0.0;0.0;0.0;1.8026716165697685E-16;2.40656E-4;3.298075008;0.769439824;42.910023952;1.423751699995E12;1968.2174364633142;118040.04767379812;9.33504208E8
0.0;0.0;3.637978807091713E-12;2.090564527871785E-16;0.0;0.0;2.4020800000000003E-4;3.327974176;0.8308328800000001;39.872300336;1.423751742989E12;2008.3708643661862;118080.10123727584;8.4992728E8
0.0;0.0;0.0;0.0;0.0;0.0;2.32496E-4;2.765487104;0.7472559520000001;47.431785600000005;1.42375178294E12;2100.6924951380415;118172.25768816409;1.02671328E8
1.8189894035458565E-12;0.0;3.637978807091713E-12;2.1304073398559876E-16;0.0;1.8026716165697685E-16;3.044E-4;2.544992944;0.10376024;38.164117888;1.423751830458E12;2395.555901944452;129895.85859044796;5.64288368E8
