Abstraction Error;Top Level Violation Abstracted;topLevelViolationActualRegioCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepRegioCentral;runtimePerAvppPerStep;Total runtime regio central;time stamps;Top level costs regio central;Root costs regio central;Longest serial path
9.094947017729282E-13;3.637978807091713E-12;3.637978807091713E-12;2.1130490927453088E-16;2.1130490927453088E-16;1.1989286072407103E-16;0.011690064;2.6558485920000003;0.077508544;54.300792112;1.423830086281E12;2069.803799487664;2069.803799487663;1.033385872E9
9.094947017729282E-13;0.0;0.0;0.0;0.0;1.806642424852488E-16;0.004516448;2.32353392;0.955877328;54.760465936;1.423830140725E12;2049.7516756915456;2049.7516756915447;1.175485744E9
9.094947017729282E-13;1.8189894035458565E-12;1.8189894035458565E-12;1.1671430476590626E-16;1.1671430476590626E-16;1.9785990673785398E-16;0.004120192;2.519930848;1.0979772;55.214328720000005;1.423830195574E12;1787.8634359768116;1788.7831896468008;5.21895104E8
9.094947017729282E-13;0.0;0.0;0.0;0.0;1.1989286072407103E-16;0.0030163200000000003;2.4848541920000002;0.44438656000000004;55.766228128;1.423830250861E12;1825.1664585896374;1826.2206158136344;7.7508544E7
0.0;0.0;1.8189894035458565E-12;1.1154551519201336E-16;0.0;0.0;0.0029617600000000003;2.5263324320000002;0.12071993600000001;56.982542192000004;1.423830306709E12;1912.2696934369792;1912.3786913673628;9.30550592E8
0.0;0.0;3.637978807091713E-12;2.0124006126627928E-16;0.0;0.0;0.002750016;2.65237912;0.809830656;53.036499872;1.423830363758E12;1866.7246446441368;1867.306889641183;9.28707424E8
1.8189894035458565E-12;0.0;3.637978807091713E-12;2.0259069123163044E-16;0.0;2.641264692652321E-16;0.0017932000000000002;2.4085408480000003;0.8079874880000001;54.140996016;1.42383041686E12;1846.6985860636971;1848.142428406762;6.32249648E8
0.0;0.0;0.0;0.0;0.0;0.0;0.002236992;2.2214913760000004;0.5115297120000001;56.063152;1.42383047107E12;1598.909755105682;1597.535133926212;1.20719936E8
0.0;0.0;0.0;0.0;0.0;0.0;0.0019382400000000001;2.4792517600000004;0.09921568;56.408293952;1.423830527199E12;1633.9870254602909;1633.3289425845064;9.68833568E8
1.8189894035458565E-12;0.0;0.0;0.0;0.0;2.5599384114285666E-16;0.00187648;2.3332139840000004;0.8696178880000001;55.25859139200001;1.423830583687E12;1715.631317188377;1715.684417353104;1.063255552E9
0.0;3.637978807091713E-12;3.637978807091713E-12;1.5967594716731374E-16;1.5967594716731374E-16;0.0;0.001820496;2.413810112;0.9640398720000001;52.86491812800001;1.423830639004E12;3059.1899333540523;3060.723443946145;6.10729152E8
0.0;3.637978807091713E-12;3.637978807091713E-12;1.6074761807435366E-16;1.6074761807435366E-16;0.0;0.001887744;2.1760856960000003;0.5115134720000001;53.039566752000006;1.423830691951E12;3032.2896955321207;3033.318243240647;9.921568E7
9.094947017729282E-13;0.0;3.637978807091713E-12;1.7639407645998222E-16;0.0;1.1989286072407103E-16;0.0016904;2.725273472;0.10254188800000001;54.979123184;1.423830745053E12;2679.8241307749536;2681.195431478898;9.5080408E8
0.0;0.0;7.275957614183426E-12;3.479041804659994E-16;0.0;0.0;0.0016012320000000002;2.375586464;0.8482621920000001;54.303637040000005;1.42383080009E12;2730.2177728921006;2731.672895056069;1.077149216E9
0.0;0.0;7.275957614183426E-12;3.3716463761682305E-16;0.0;0.0;0.0017091200000000002;2.2469291680000003;0.974607328;57.130669376;1.423830854471E12;2847.7962743159014;2847.8129660303057;5.8997104E8
0.0;0.0;3.637978807091713E-12;1.918993158720832E-16;0.0;0.0;0.0016744160000000002;2.75968896;0.48742915200000003;54.468615872;1.423830911661E12;2266.092891766292;2266.613617855194;1.02541888E8
0.0;0.0;3.637978807091713E-12;1.9318725508615583E-16;0.0;0.0;0.001488048;2.529498128;0.104938416;54.398032528;1.423830966199E12;2244.790438993117;2245.438148505508;9.97192896E8
1.8189894035458565E-12;0.0;3.637978807091713E-12;2.1199124349699001E-16;0.0;1.8694372319982788E-16;0.001522768;2.711780704;0.8922544800000001;53.849501152;1.423831020689E12;1966.7361399852934;1966.7385624703286;1.102508896E9
0.0;0.0;0.0;0.0;0.0;0.0;0.00148648;2.6741644;0.99757048;50.636817888;1.423831074603E12;2006.7271407944936;2006.8157022773642;5.67605232E8
0.0;0.0;3.637978807091713E-12;2.0260303584462427E-16;0.0;0.0;0.0014824480000000001;3.099833888;0.46266681600000004;62.141058944;1.423831125319E12;2099.002689206905;2099.0455489731967;1.04938416E8
0.0;0.0;3.637978807091713E-12;2.1304073398559876E-16;0.0;0.0;0.001987584;2.7489701440000003;0.113015456;50.350262352;1.4238311875E12;2396.0796638776615;2395.8853836620547;7.72740768E8
9.094947017729282E-13;0.0;0.0;0.0;0.0;1.4566641866112295E-16;0.001836544;3.194690576;0.6597253120000001;49.613078368000004;1.423831237919E12;2375.1873380432858;2376.263119108792;1.27328464E9
0.0;0.0;1.8189894035458565E-12;1.1767308785827894E-16;0.0;0.0;0.001865616;2.72553072;1.1602691840000001;50.074706144000004;1.423831287574E12;2118.9683173704784;2117.882654358897;7.58404672E8
0.0;1.8189894035458565E-12;0.0;0.0;1.1604403054749328E-16;0.0;0.0018139680000000002;2.7154127040000002;0.645389216;51.089884128;1.423831337713E12;2155.186188105623;2155.052478685914;1.13015456E8
9.094947017729282E-13;0.0;0.0;0.0;0.0;1.4049700688140344E-16;0.0017941600000000002;2.421924784;0.109435024;50.964215136;1.423831388865E12;2240.3693976926293;2240.5447288591913;6.6309736E8
