Abstraction Error;Top Level Violation Abstracted;topLevelViolationActualRegioCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepRegioCentral;runtimePerAvppPerStep;Total runtime regio central;time stamps;Top level costs regio central;Root costs regio central;Longest serial path
0.0;0.0;4.3655745685100555E-11;5.666943202496649E-16;0.0;0.0;9.052000000000001E-4;9.320599552000001;0.126678368;316.36229147200004;1.423981340083E12;9216.830762477348;9219.274506177842;1.11453536E9
0.0;0.0;1.4551915228366852E-11;1.9016590324015524E-16;0.0;0.0;8.83552E-4;9.485155568;0.09671184000000001;337.804945712;1.423981656607E12;9126.465518899806;9132.09574681653;1.141768064E9
9.094947017729282E-13;0.0;2.9103830456733704E-11;4.1735161339323506E-16;0.0;1.4093373335162206E-16;0.0010356640000000002;9.647110640000001;0.8911451520000001;322.31724297600005;1.423981994487E12;7979.198205873648;7984.335381627114;2.23390208E8
9.094947017729282E-13;0.0;2.9103830456733704E-11;4.115738292852386E-16;0.0;1.1928905873813246E-16;0.0115092;9.850171040000001;0.9183778560000001;430.47833048;1.423982316892E12;8141.8930817159;8148.2526217800605;8.10019344E8
0.0;0.0;2.9103830456733704E-11;3.9886885181331534E-16;0.0;0.0;9.13664E-4;10.39762368;0.098697568;316.01717928;1.423982747468E12;8521.446338944344;8527.083958868985;1.126018176E9
0.0;0.0;2.9103830456733704E-11;3.951452942351186E-16;0.0;0.0;0.001051408;10.563400336;0.584643408;312.31325283200005;1.423983063555E12;9424.482839123913;9426.796693646891;2.25375936E8
1.8189894035458565E-12;0.0;1.4551915228366852E-11;1.9889866309992197E-16;0.0;1.5904373922297162E-16;0.001053536;20.180881088;0.90064224;318.546898608;1.423983375961E12;9341.18837014481;9342.572923774767;1.024857664E9
1.8189894035458565E-12;0.0;1.4551915228366852E-11;2.1825857457127328E-16;0.0;2.0932137060397478E-16;0.001046704;13.017434496000002;0.11217001600000001;333.35419449600005;1.423983694606E12;8237.672763805069;8237.419855956434;9.95634752E8
0.0;0.0;2.9103830456733704E-11;4.304740388100429E-16;0.0;0.0;0.001032656;10.792502496000001;0.78600928;319.31592;1.423984028041E12;8395.023764778203;8396.09936105219;2.38848384E8
0.0;0.0;1.4551915228366852E-11;2.0859281297573094E-16;0.0;0.0;0.0010628640000000002;12.168469984000001;0.7567863680000001;320.071615424;1.423984347435E12;8761.17965406425;8761.758370185249;1.290220832E9
9.094947017729282E-13;0.0;0.0;0.0;0.0;2.032636322049888E-16;4.89168E-4;9.866176464;0.112869456;321.81094968;1.423984667594E12;9284.39561028194;9285.248727993898;1.03726208E9
0.0;0.0;0.0;0.0;0.0;0.0;9.80784E-4;9.30413336;1.050673008;390.91474776;1.4239849895E12;9203.382738349412;9204.448177152984;2.39547824E8
0.0;0.0;7.275957614183426E-12;1.1497501324774664E-16;0.0;0.0;0.001024528;10.46652048;0.797714256;322.12946393600004;1.423985380498E12;8144.100683111082;8145.2942266217515;1.114411456E9
0.0;7.275957614183426E-12;0.0;0.0;1.133833078774032E-16;0.0;0.001073056;10.110721872000001;0.11487398400000001;319.886248704;1.423985702748E12;8296.62227749545;8296.832670585532;1.0766296E9
0.0;0.0;1.4551915228366852E-11;2.197664992761846E-16;0.0;0.0;0.001117776;10.716405792000002;0.8728591040000001;319.479025632;1.423986022735E12;8641.336704193971;8648.683329127205;2.41552352E8
0.0;1.4551915228366852E-11;4.3655745685100555E-11;5.121482374059573E-16;1.7071607913531912E-16;0.0;0.001107728;13.930831712000002;0.835077248;324.86313976;1.423986342285E12;11506.394503599255;11508.84482569208;1.26678368E8
0.0;1.4551915228366852E-11;7.275957614183426E-11;8.593092314411188E-16;1.7186184628822377E-16;0.0;0.007556224;56.559487344000004;0.127850464;319.46542392000003;1.423986667264E12;11410.070987879331;11411.446434274654;1.342004464E9
9.094947017729282E-13;0.0;5.820766091346741E-11;7.543604569169115E-16;0.0;1.1274698668129763E-16;0.0010996;46.912475840000006;0.095846;324.22949396800004;1.423986986815E12;10129.374750134693;10134.16987535316;1.169831808E9
1.8189894035458565E-12;0.0;4.3655745685100555E-11;5.579378609388312E-16;0.0;2.2115948943759586E-16;0.0011230880000000002;13.181486928;1.118308;323.54794075200004;1.42398731117E12;10312.964119984286;10317.632799843279;2.23696464E8
1.8189894035458565E-12;0.0;5.820766091346741E-11;7.209529798086882E-16;0.0;3.288489894145948E-16;0.001146384;33.418279648;0.9461353440000001;319.777835776;1.423987634808E12;10736.823573539952;10741.213496367174;9.07201536E8
0.0;0.0;2.9103830456733704E-11;3.9405085092211707E-16;0.0;0.0;4.52288E-4;9.25128488;0.101242384;318.563236544;1.42398795467E12;8735.72569430705;8118.400839363789;9.30811712E8
0.0;0.0;1.4551915228366852E-11;1.9834776874543892E-16;0.0;0.0;8.8088E-4;9.570740304000001;0.678108688;322.245343008;1.423988273362E12;8670.689008750422;7905.646353435082;2.29092848E8
1.8189894035458565E-12;1.4551915228366852E-11;1.4551915228366852E-11;2.1765405860985418E-16;2.1765405860985418E-16;1.8059559798341258E-16;8.696480000000001E-4;8.85249112;0.701718864;386.39919896000004;1.42398859569E12;7610.806380760254;6845.135020317325;1.065944064E9
0.0;1.4551915228366852E-11;0.0;0.0;2.146408723167607E-16;0.0;9.040000000000001E-4;8.954262304;0.124782816;327.3140116;1.423988982195E12;7761.151652161119;6995.694414232304;9.89653216E8
0.0;0.0;1.4551915228366852E-11;2.080150685039326E-16;0.0;0.0;8.91664E-4;8.711303168;0.813310784;326.501644912;1.423989309608E12;8110.669196164336;7345.972072455314;2.5263328E8
0.0;7.275957614183426E-12;7.275957614183426E-12;1.1840684471342454E-16;1.1840684471342454E-16;0.0;0.0010053920000000001;9.001467664;0.737019936;321.184882432;1.42398963621E12;7706.71899345645;7707.7200666407;1.207208352E9
0.0;7.275957614183426E-12;1.4551915228366852E-11;2.384030730870044E-16;1.192015365435022E-16;0.0;9.68352E-4;9.441903168000001;0.091342064;332.97540032;1.423989957507E12;7636.087550218818;7637.754823434448;1.009043456E9
0.0;0.0;1.4551915228366852E-11;2.6160816817175017E-16;0.0;0.0;8.7168E-4;9.812517488000001;0.9880158240000001;328.082538208;1.423990290567E12;6705.052987254578;6709.591923053425;2.19192528E8
0.0;0.0;7.275957614183426E-12;1.2899324225841025E-16;0.0;0.0;9.87264E-4;9.471169024;0.789850928;327.78082952;1.423990618744E12;6840.607537871944;6842.13942342188;1.211596784E9
0.0;0.0;7.275957614183426E-12;1.2501131697475076E-16;0.0;0.0;8.90784E-4;9.734281664000001;0.09302912;322.633477632;1.423990946641E12;7148.294895119484;7148.905393726535;1.04109576E9
0.0;0.0;2.9103830456733704E-11;3.8050593442137717E-16;0.0;0.0;8.917920000000001E-4;9.311471776000001;0.9907172000000001;319.746341184;1.423991269374E12;9498.892838748776;9501.77769701508;2.20879584E8
9.094947017729282E-13;0.0;1.1641532182693481E-10;1.5322388551683725E-15;0.0;1.1973471405790958E-16;8.750240000000001E-4;9.091583904;0.8202161760000001;319.75771928;1.42399158922E12;9414.57677383643;9416.538299556667;1.27850464E8
9.094947017729282E-13;0.0;1.4551915228366852E-11;2.10172521536609E-16;0.0;1.5374589092904224E-16;8.726560000000001E-4;9.208974864;0.131263248;320.479555552;1.423991909098E12;8298.899307511721;8303.800196138152;1.311620416E9
9.094947017729282E-13;0.0;2.9103830456733704E-11;4.145258181515805E-16;0.0;1.247547754786961E-16;8.64512E-4;8.917605184000001;0.101898944;321.15812059200005;1.423992229678E12;8459.364825821609;8464.35334638766;1.032853904E9
9.094947017729282E-13;0.0;1.4551915228366852E-11;2.008648574913485E-16;0.0;1.644244947072974E-16;8.73472E-4;9.241922512;1.078458224;328.3274764;1.42399255096E12;8826.059225892062;8830.796247162532;2.33162192E8
0.0;0.0;0.0;0.0;0.0;0.0;9.63552E-4;23.763423984000003;0.799691712;324.30110638400004;1.423992879387E12;9183.86427391409;7852.694314090615;1.14086824E9
0.0;0.0;1.4551915228366852E-11;2.2279279937388747E-16;0.0;0.0;9.5704E-4;10.023382960000001;0.108724208;329.06388673600003;1.423993203805E12;9146.647435556539;7638.960057227763;1.040886592E9
0.0;0.0;2.1827872842550278E-11;3.66717689738766E-16;0.0;0.0;9.84608E-4;10.941375744;0.900880784;326.84070422400004;1.42399353298E12;8192.343685945258;6684.548101427535;2.39987456E8
0.0;0.0;0.0;0.0;0.0;0.0;9.882880000000001E-4;10.197091472;0.8008991360000001;331.97291272;1.423993859941E12;8329.335436425552;6821.391930309395;1.024302384E9
0.0;0.0;7.275957614183426E-12;1.168257644567222E-16;0.0;0.0;9.776000000000001E-4;10.175067664;0.11607048;326.01677169600003;1.423994192034E12;8644.647333021954;7137.423370926878;1.017413968E9
0.0;0.0;1.4551915228366852E-11;1.8949320786862231E-16;0.0;0.0;9.78048E-4;9.083598736;0.7769686560000001;329.77955150400004;1.423994518152E12;8981.932792813015;8984.124212670231;2.47333728E8
0.0;0.0;1.4551915228366852E-11;1.9076499840161778E-16;0.0;0.0;0.005419616;9.639263744;0.7700802400000001;321.791027616;1.423994848045E12;8894.795714818452;8897.245621665832;1.154627456E9
0.0;0.0;1.4551915228366852E-11;2.0933321511724458E-16;0.0;0.0;9.434720000000001E-4;9.905664624;0.11600576000000001;324.09571385600003;1.423995169935E12;7758.948769147895;7760.522181367976;1.061649888E9
0.0;1.4551915228366852E-11;1.4551915228366852E-11;2.0643522195089104E-16;2.0643522195089104E-16;0.0;0.001104928;9.62780816;0.9073584480000001;339.86116736;1.42399549415E12;7921.440221321027;7922.761657628327;2.47269008E8
0.0;1.4551915228366852E-11;1.4551915228366852E-11;2.000627204513366E-16;2.000627204513366E-16;0.0;0.0010812480000000001;9.646175488;0.8143808800000001;325.45824414400005;1.423995834121E12;8297.786026705899;8299.074453773168;1.14345456E9
0.0;0.0;1.4551915228366852E-11;1.9726025091064565E-16;0.0;0.0;8.965920000000001E-4;8.810654032;0.108399216;330.94551798400005;1.423996159693E12;9599.323400554062;9606.511274335882;1.187732368E9
0.0;0.0;1.4551915228366852E-11;1.9858417023454248E-16;0.0;0.0;8.896E-4;9.258795568;0.9037920960000001;370.13812164800004;1.423996490756E12;9515.714644563097;9522.762712204327;2.39662464E8
9.094947017729282E-13;0.0;0.0;0.0;0.0;1.4104128596583801E-16;8.81936E-4;9.794025920000001;0.948069904;324.967133472;1.423996860991E12;8420.498517642693;8428.163977609793;1.31263248E8
9.094947017729282E-13;1.4551915228366852E-11;1.4551915228366852E-11;2.1489669279893248E-16;2.1489669279893248E-16;1.1928905873813246E-16;0.00100928;9.812889984;0.12386329600000001;321.397661936;1.423997186064E12;8576.386133333488;8583.947893547904;1.532423856E9
1.8189894035458565E-12;0.0;0.0;0.0;0.0;3.288489894145948E-16;0.005930992;9.556554592000001;0.104120448;329.428716848;1.42399750758E12;8938.463586387388;8945.453900981114;1.163614912E9
0.0;7.275957614183426E-12;7.275957614183426E-12;1.2492552002760422E-16;1.2492552002760422E-16;0.0;9.9248E-4;9.562723936000001;1.304440112;;;8103.152814764908;8104.617823418595;2.27983744E8
0.0;7.275957614183426E-12;1.4551915228366852E-11;2.5152792436665873E-16;1.2576396218332936E-16;0.0;9.793920000000002E-4;9.914814384000001;0.935631168;;;8035.202900035857;8036.360223651315;9.99335808E8
0.0;0.0;7.275957614183426E-12;1.38005267057925E-16;0.0;0.0;6.991520000000001E-4;9.431920176;0.10299214400000001;;;7142.832429762021;7142.265504717656;1.197267904E9
0.0;0.0;0.0;0.0;0.0;0.0;9.89152E-4;10.25405456;0.7724803680000001;;;7269.309286042743;7269.955050627421;2.2685544E8
0.0;7.275957614183426E-12;7.275957614183426E-12;1.3189358959951909E-16;1.3189358959951909E-16;0.0;9.92816E-4;10.628932128;0.970412464;;;7565.312343154077;7565.561742790605;1.050593632E9
