Abstraction Error;Top Level Violation Abstracted;topLevelViolationActualCentral;topLevelViolationActualRegioCentral;relativeTLViolationCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepCentral;runtimePerStepRegioCentral;runtimePerAvppPerStep;unsolvedCentralAllocations;Total runtime central;Total runtime regio central;time stamps;Top level costs central;Top level costs regio central;Root costs regio central;Longest serial path
9.094947017729282E-13;0.0;8.003553375601768E-11;1.4551915228366852E-11;2.7039202619309042E-15;4.916218824145713E-16;0.0;1.1416823699646016E-16;0.006846832000000001;3.9401679140000003;2.418544598;0.07225305600000001;0.0;109.58705199100001;154.031253208;1.423502095241E12;2976.0031569380258;2980.5990873091578;2980.9719298896916;8.88866865E8
0.0;0.0;3.637978807091713E-12;1.0913936421275139E-11;1.157944108226352E-16;3.473832435248798E-16;0.0;0.0;0.004656179;11.747885362;2.296253567;0.816613809;0.0;161.922162544;152.655073847;1.423502358973E12;3264.9737936912456;3270.983745334797;3270.9860303330115;6.27359683E8
1.8189894035458565E-12;3.637978807091713E-12;3.637978807091713E-12;7.275957614183426E-12;1.125783957567059E-16;2.251567984809596E-16;1.125783992404798E-16;1.4088973980341168E-16;0.004715517000000001;0.8351057420000001;2.495152017;0.555106627;0.0;145.16768533700002;164.578101425;1.423502673625E12;3408.929332802811;3410.811158655472;3419.487793644443;1.015816321E9
1.8189894035458565E-12;0.0;3.637978807091713E-12;1.0913936421275139E-11;1.1186880152309524E-16;3.3560641488927095E-16;0.0;1.859142649858638E-16;0.004112526;0.936294339;2.413198828;0.9435632650000001;0.0;140.08551725;151.43744066300002;1.423502983447E12;3441.8487200111545;3443.3000861045525;3453.40653915272;7.2253056E7
0.0;3.637978807091713E-12;0.0;7.275957614183426E-12;0.0;2.252058372540042E-16;1.126029186270021E-16;0.0;0.002970372;0.9959711880000001;2.439683917;0.070664431;0.0;136.81468776600002;158.42116536400002;1.423503275033E12;3407.799249159421;3409.6958449463978;3418.3234024438916;1.06083119E9
1.8189894035458565E-12;3.637978807091713E-12;3.637978807091713E-12;7.275957614183426E-12;1.1164996542223603E-16;2.232999376975714E-16;1.116499688487857E-16;1.4088973980341168E-16;0.0028420760000000002;1.3668230590000001;2.590885473;0.9901667590000001;0.0;100.14584455900001;144.0380221;1.423503570325E12;3452.269260351904;3453.5193531704176;3463.9539332801596;6.89489227E8
0.0;0.0;7.275957614183426E-12;7.275957614183426E-12;2.2005311911668952E-16;2.2005312577194773E-16;0.0;0.0;0.00293477;5.07091076;3.1689128080000004;0.6188247960000001;0.0;164.966159385;143.08059966800002;1.423503814568E12;3531.7724831003566;3534.6801555661546;3543.508431106578;6.57782815E8
0.0;3.637978807091713E-12;3.637978807091713E-12;1.0913936421275139E-11;1.1233247453359932E-16;3.369974340065089E-16;1.1233247800216961E-16;0.0;0.001836556;11.76855993;2.912938708;0.587118384;0.0;114.24057955100001;159.13128104700002;1.423504122676E12;3420.290980912588;3422.024242250736;3431.1943560050913;7.0664431E7
3.637978807091713E-12;7.275957614183426E-12;0.0;7.275957614183426E-12;0.0;2.1705250678230553E-16;2.1705250678230553E-16;2.6350584003110594E-16;0.007791412;2.954544755;3.151835016;0.072571551;0.0;68.89540290000001;142.961974051;1.42350439611E12;3608.090878343923;3616.0333693860016;3619.146817527784;1.066036799E9
0.0;0.0;1.4551915228366852E-11;7.275957614183426E-12;4.3130486285288257E-16;2.1565243781817346E-16;0.0;0.0;0.001553022;1.76272471;3.3609137490000003;0.993465248;0.0;119.773147471;154.189775649;1.423504608027E12;3644.3100432597635;3654.02374702541;3655.1593772673814;6.49449034E8
