Abstraction Error;Top Level Violation Abstracted;topLevelViolationActualCentral;topLevelViolationActualRegioCentral;relativeTLViolationCentral;relativeTLViolationRegioCentral;topLevelViolationAbstractedRel;abstractionErrorRel;variableAbstraction;runtimePerStepCentral;runtimePerStepRegioCentral;runtimePerAvppPerStep;unsolvedCentralAllocations;Total runtime central;Total runtime regio central;time stamps;Top level costs central;Top level costs regio central;Root costs regio central;Longest serial path
1.8189894035458565E-12;1.4551915228366852E-11;7.275957614183426E-10;1.4551915228366852E-11;5.7573982742351334E-15;1.1514796639585792E-16;1.1514796639585792E-16;1.8587311176842574E-16;0.01784468;6.00995416;11.831391254000001;0.47219731200000004;0.0;1070.694729475;629.011634195;1.423764171451E12;14518.283085319592;14537.809443300263;14554.286263792334;1.24286771E9
0.0;0.0;2.9103830456733704E-11;2.9103830456733704E-11;2.1697148525187797E-16;2.169714868694185E-16;0.0;0.0;0.010306973;36.007911689000004;11.301557961;0.770670398;0.0;1168.2985831;685.072037839;1.423765871322E12;15811.491512508648;15839.155032611163;15840.392934296538;1.256899755E9
1.8189894035458565E-12;0.0;0.0;2.9103830456733704E-11;0.0;2.1094543097185819E-16;0.0;1.2617071527251164E-16;0.009011827;19.329054986000003;11.058790965;0.784702443;0.0;692.748030337;665.7736272980001;1.423767724796E12;16454.23157240093;16474.886412037857;16477.985656722467;1.534825287E9
1.8189894035458565E-12;2.9103830456733704E-11;0.0;5.820766091346741E-11;0.0;4.192316365209185E-16;2.0961581826045926E-16;1.9731208019512528E-16;0.0036371890000000003;19.003029388;10.687458945000001;1.062627975;0.0;1259.1838191900001;732.199304187;1.423769083411E12;16601.518855214003;16620.757431104023;16624.49603936718;1.300580026E9
3.637978807091713E-12;0.0;2.9103830456733704E-11;2.9103830456733704E-11;2.109913730032918E-16;2.1099137453289663E-16;0.0;2.470461990857484E-16;0.00356374;9.089556006;11.003074933;0.8283827140000001;0.0;911.762810027;686.432973399;1.423771074886E12;16449.17537411471;16469.923346340387;16472.95612850052;1.327576055E9
1.8189894035458565E-12;2.9103830456733704E-11;2.9103830456733704E-11;2.9103830456733704E-11;2.0920576936960818E-16;2.092057708734327E-16;2.092057708734327E-16;1.2070358386738885E-16;0.002426396;7.018304621;11.902904684000001;0.855378743;0.0;1191.497018402;746.8292609;1.423772673188E12;16647.31939574393;16668.89278088542;16670.054994561495;1.385550095E9
9.094947017729282E-13;2.9103830456733704E-11;2.9103830456733704E-11;0.0;2.0616388861903294E-16;0.0;2.0616389007944376E-16;1.1193690033007808E-16;0.003256792;28.127054017000003;11.255158458;0.913352783;0.0;1195.813747357;697.72281666;1.423774611603E12;16992.87936897162;17014.559002537422;17015.465949247333;1.969633638E9
0.0;2.9103830456733704E-11;0.0;2.9103830456733704E-11;0.0;2.1048463243545639E-16;2.1048463243545639E-16;0.0;0.0023551920000000003;14.365666792;11.130386183;1.497436326;0.0;1064.7676198410002;682.3244789910001;1.423776505224E12;16505.065637682164;16524.784139812426;16528.551586200516;1.419737751E9
9.094947017729282E-13;0.0;0.0;0.0;0.0;0.0;0.0;1.2764548067746737E-16;0.001858367;13.343106596;11.556966596;0.9475404390000001;0.0;1191.425763489;713.940123972;1.423778252413E12;17324.053324049535;17342.087909106376;17344.779730051585;1.291642291E9
0.0;2.9103830456733704E-11;2.9103830456733704E-11;5.820766091346741E-11;2.0204096179548492E-16;4.040819263961367E-16;2.0204096319806834E-16;0.0;0.0025611080000000003;8.158779674;11.257597363;0.819444979;0.0;849.7286172390001;679.397424202;1.423780157859E12;17481.73353285724;17500.205604561244;17501.635168977926;2.083388501E9
0.0;2.9103830456733704E-11;5.820766091346741E-11;0.0;3.8417131641924927E-16;0.0;1.9208565947739247E-16;0.0;0.0019183450000000001;8.162902785;11.791423867;1.6111911890000001;0.0;976.7040748710001;745.5026640650001;1.423781687086E12;18751.522036083396;18764.70148015711;18767.242205477865;1.218961689E9
9.094947017729282E-13;0.0;2.9103830456733704E-11;5.820766091346741E-11;1.9592166785314486E-16;3.918433383441074E-16;0.0;1.3164848589072943E-16;0.001587342;8.407426153000001;11.515100109;0.7467643770000001;0.0;911.694955918;699.5527722820001;1.423783409374E12;18246.02776969445;18259.72978579033;18262.989452260925;8.79151977E8
1.8189894035458565E-12;0.0;3.2014213502407074E-10;2.9103830456733704E-11;2.059483712399783E-15;1.8722579324077289E-16;0.0;1.8587311176842574E-16;0.0018003130000000002;8.500605878;11.476984032;0.40695466500000005;0.0;1302.053491702;734.654760163;1.423785020707E12;19425.40721774853;19441.130278471956;19443.015815861017;4.72197312E8
1.8189894035458565E-12;2.9103830456733704E-11;8.731149137020111E-11;2.9103830456733704E-11;5.646674685915029E-16;1.8822249074778763E-16;1.8822249074778763E-16;1.3589050728912141E-16;0.001636415;15.872488287000001;11.498933220000001;0.5007579080000001;0.0;1479.300258965;755.603975505;1.423787057503E12;19284.054978731758;19296.478169456084;19301.390823325477;1.43991902E9
1.8189894035458565E-12;2.9103830456733704E-11;2.9103830456733704E-11;0.0;1.876799258923221E-16;0.0;1.8767992710260108E-16;1.2617071527251164E-16;0.001680997;26.017304874;11.632580044000001;0.9391611120000001;0.0;1023.092972527;684.0163128270001;1.423789292488E12;19360.76088108929;19374.448985872736;19378.299452659834;1.409898736E9
0.0;2.9103830456733704E-11;0.0;2.9103830456733704E-11;0.0;1.8136919587616732E-16;1.8136919587616732E-16;0.0;0.0015260800000000002;30.024888126;12.680720843000001;0.9091408280000001;0.0;1181.979947989;678.164822733;1.423790999679E12;20292.762049446595;20309.80430420264;20310.42677162137;1.496508748E9
5.4569682106375694E-12;2.9103830456733704E-11;0.0;0.0;0.0;0.0;1.7552522699754933E-16;3.5222434950852924E-16;0.0014391590000000002;35.50587884;12.110184387;0.99575084;0.0;1023.606175139;689.4652330890001;1.423792859913E12;21223.605216944816;21241.742746549637;21242.135301714137;1.396984147E9
0.0;2.9103830456733704E-11;5.820766091346741E-11;0.0;3.467058050490101E-16;0.0;1.733529035570574E-16;0.0;0.0014471780000000001;40.953447504;12.212544006;0.8962262390000001;0.0;1055.4589004020002;689.800155687;1.42379457307E12;21586.864733803228;21605.425010259438;21606.025802900487;1.372257353E9
9.094947017729282E-13;5.820766091346741E-11;1.1641532182693481E-10;2.9103830456733704E-11;7.233203763032465E-16;1.8083009519935864E-16;3.616601903987173E-16;1.1193690033007808E-16;0.001615887;17.487981879;12.480228315000002;0.8714994450000001;0.0;1186.269870152;727.778894807;1.423796318412E12;20375.912346045665;20392.37062671091;20393.276752554528;1.420650575E9
1.8189894035458565E-12;2.9103830456733704E-11;0.0;0.0;0.0;0.0;1.7665742742192256E-16;1.6023259586013707E-16;0.0015844540000000001;21.012957247000003;13.098561097000001;0.919892667;0.0;1512.121966122;742.1070302310001;1.423798232549E12;21037.955229156603;21054.282183315587;21056.10194339923;1.634808544E9
9.094947017729282E-13;0.0;5.820766091346741E-11;2.9103830456733704E-11;3.399977340916205E-16;1.6999886803879346E-16;0.0;1.2764548067746737E-16;0.0014513470000000002;62.91325624;11.240135326;1.134050636;0.0;1206.822557439;714.406135496;1.423800486866E12;22168.21654305179;22184.159232570408;22191.004237229088;1.520340677E9
0.0;5.820766091346741E-11;5.820766091346741E-11;5.820766091346741E-11;3.478452021281285E-16;3.4784520420682886E-16;3.4784520420682886E-16;0.0;0.001579964;19.888578519000003;11.965590392000001;1.019582769;0.0;1304.925731415;758.3120894540001;1.423802408192E12;21490.567899532653;21508.881903416204;21509.71502593795;1.303849327E9
0.0;0.0;8.731149137020111E-11;0.0;5.147917736851637E-16;0.0;0.0;0.0;0.001373728;29.632966856000003;12.749760087;0.803091419;0.0;1348.373428375;744.7122851690001;1.423804471514E12;21887.8374067046;21908.665503194672;21909.11498298013;1.394772326E9
1.8189894035458565E-12;0.0;2.9103830456733704E-11;2.9103830456733704E-11;1.7412488815535886E-16;1.7412488919712813E-16;0.0;2.6329697178145886E-16;0.001540514;22.942577311;11.358952426;0.894014418;0.0;1019.756369893;722.362616878;1.423806564685E12;21456.562060140477;21474.842056339436;21475.668864100873;1.300262173E9
1.8189894035458565E-12;2.9103830456733704E-11;2.3283064365386963E-10;2.9103830456733704E-11;1.360798350064849E-15;1.7009979475226872E-16;1.7009979475226872E-16;1.8587311176842574E-16;0.0012573;29.735636951000004;11.397640061;0.799504265;0.0;1363.976848359;728.1766814460001;1.423808306907E12;22150.33880816543;22166.250750508236;22173.185293655853;1.014561907E9
1.8189894035458565E-12;0.0;8.731149137020111E-11;2.9103830456733704E-11;4.962099965387761E-16;1.6540333311961474E-16;0.0;1.3589050728912141E-16;0.0012621120000000001;18.956654582000002;11.814046607;0.5138039990000001;0.0;1159.088461001;731.623080373;1.423810399145E12;23006.921520853753;23029.67659881512;23031.442423134744;5.00757908E8
3.637978807091713E-12;2.9103830456733704E-11;1.4551915228366852E-10;2.9103830456733704E-11;8.359956824198206E-16;1.6719913744450954E-16;1.6719913744450954E-16;2.5234143054502327E-16;0.001416387;27.638688854;12.439047249000001;0.543924355;0.0;1065.3668160030002;732.458592812;1.423812289943E12;22673.53894109004;22694.72853185;22696.620561636537;1.202559697E9
1.8189894035458565E-12;0.0;5.820766091346741E-11;0.0;3.470603321714792E-16;0.0;0.0;1.5784966415610025E-16;0.001093081;27.847287119;12.059103366;0.6586353420000001;0.0;1109.334430584;726.35298891;1.423814087866E12;21556.87177572119;21575.145193894852;21575.990618791617;1.454682033E9
5.4569682106375694E-12;0.0;2.9103830456733704E-11;2.9103830456733704E-11;1.7566267136034435E-16;1.7566267242059564E-16;0.0;3.5222434950852924E-16;0.001046574;30.541216989000002;11.476489130000001;0.9107576780000001;0.0;1127.430361935;744.804618781;1.423815923638E12;21200.940290697345;21218.634780716704;21219.42255143241;1.477156912E9
1.8189894035458565E-12;0.0;2.9103830456733704E-11;0.0;1.7030885431163986E-16;0.0;0.0;1.2070358386738885E-16;0.001104628;17.971965096;12.043848981;0.9332325570000001;0.0;1322.105640466;735.4210967250001;1.423817795962E12;22113.297315271484;22129.222469957916;22136.34214640031;1.439708936E9
0.0;2.9103830456733704E-11;2.9103830456733704E-11;2.9103830456733704E-11;1.7438210465362663E-16;1.7438210569847598E-16;1.7438210569847598E-16;0.0;0.0010462540000000002;17.647239136;11.888900222;0.895784581;0.0;917.3441595840001;728.5159311460001;1.423819853565E12;21413.491639545602;21431.67301651337;21432.49182080792;1.44005758E9
0.0;2.9103830456733704E-11;2.9103830456733704E-11;2.9103830456733704E-11;1.8020425288203086E-16;1.8020425399781432E-16;1.8020425399781432E-16;0.0;0.001248961;11.373921352;12.277330239000001;0.896133225;0.0;1090.407990975;719.148532359;1.423821499512E12;20472.980134620975;20488.27671416831;20490.547833100165;1.418164523E9
9.094947017729282E-13;2.9103830456733704E-11;5.820766091346741E-11;5.820766091346741E-11;3.701544751223327E-16;3.7015447747622106E-16;1.8507723873811053E-16;1.2764548067746737E-16;0.0011941150000000002;33.267434132000005;11.263738248000001;0.874240168;0.0;1009.3723394640001;735.3767175620001;1.423823309158E12;19735.902496745337;19752.708589835707;19754.656754456668;1.920087999E9
0.0;2.9103830456733704E-11;0.0;5.820766091346741E-11;0.0;3.5903294415476424E-16;1.7951647207738212E-16;0.0;0.001176153;11.504293102;12.254856963;1.376163644;0.0;1041.5001430500001;737.626893007;1.423825054001E12;20580.522933622215;20595.844748864918;20598.22825663588;1.515540486E9
0.0;2.9103830456733704E-11;0.0;5.820766091346741E-11;0.0;3.652989305199124E-16;1.826494652599562E-16;0.0;0.00112291;12.140649216;11.674468342;0.9716161310000001;0.0;1100.559956212;713.101611012;1.423826833208E12;20097.514696661994;20115.315873344793;20115.986432185302;1.450537432E9
9.094947017729282E-13;2.9103830456733704E-11;0.0;0.0;0.0;0.0;1.9123681916317882E-16;1.3164848589072943E-16;0.001125156;19.732327237;11.230904435000001;0.906613077;0.0;1151.501488874;740.971076326;1.42382864695E12;18866.739444037736;18881.572098419285;18882.110338820392;1.404077631E9
1.8189894035458565E-12;5.820766091346741E-11;2.9103830456733704E-11;2.9103830456733704E-11;1.9208890336716147E-16;1.9208890463497215E-16;3.841778092699443E-16;1.8587311176842574E-16;0.00104465;18.856940104;10.978295858000001;0.860153276;0.0;896.9704034140001;712.469418742;1.423830539504E12;18751.08483967514;18764.28271357403;18766.805007053685;1.245771046E9
1.8189894035458565E-12;2.9103830456733704E-11;0.0;2.9103830456733704E-11;0.0;1.8943046605671569E-16;1.8943046605671569E-16;1.3589050728912141E-16;0.001118099;17.396260238;11.407080396000001;0.7018466910000001;0.0;1098.760542076;739.337143401;1.423832149025E12;19115.084059988563;19127.355938521694;19131.74216205418;9.70792792E8
0.0;2.9103830456733704E-11;2.9103830456733704E-11;2.9103830456733704E-11;1.8982795764430395E-16;1.8982795888244523E-16;1.8982795888244523E-16;0.0;0.0010558750000000002;20.114950580000002;11.454030288;0.42686843700000004;0.0;1172.991731328;726.7727202460001;1.423833987203E12;19060.00668912657;19072.76113808196;19076.39020097809;5.43924355E8
0.0;0.0;2.9103830456733704E-11;2.9103830456733704E-11;2.0536114697650393E-16;2.0536114842556405E-16;0.0;0.0;0.001084422;27.019901584000003;12.290332709000001;0.5367314430000001;0.0;1312.3392952450001;768.0680103100001;1.423835887045E12;17086.515645419393;17106.50988133116;17108.575759012772;1.32523305E9
5.4569682106375694E-12;0.0;8.731149137020111E-11;8.731149137020111E-11;5.881367771630076E-16;5.881367811247412E-16;0.0;3.5222434950852924E-16;0.001069026;18.025594716;11.610222234;0.788501607;0.0;1120.20243589;758.0024587910001;1.423837967533E12;18230.07407506113;18243.776091157;18247.092421903337;1.314331745E9
